game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Rudy Gobert,JaVale McGee,,,,,,,JaVale McGee,,Nick Young,,,,jump ball,,,,,,Jump Ball McGee vs. Gobert: Tip to Young
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:11:44,00:00:16,00:00:16,7,GSW,miss,,,,,,,,,,Nick Young,0,,,missed,,Jump Shot,19,-85,168,16.5,72.2,MISS Young 19' Jump Shot
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:11:40,00:00:20,00:00:04,8,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:11:19,00:00:41,00:00:21,9,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Shot,20,116,165,13.4,21.5,MISS Mitchell 20' Jump Shot
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,0,00:11:16,00:00:44,00:00:03,10,GSW,rebound,,,,,,,,,,Nick Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,2,00:10:54,00:01:06,00:00:22,11,GSW,shot,,,,,,,,,,JaVale McGee,2,,,made,,unknown,1,5,10,25.5,88.0,McGee 1' Driving Dunk (2 PTS)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,2,00:10:39,00:01:21,00:00:15,12,UTA,miss,,,,JaVale McGee,,,,,,Rudy Gobert,0,,,missed,,Layup,2,8,23,24.2,7.3,"MISS Gobert 2' Layup, McGee BLOCK (1 BLK)"
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,2,00:10:37,00:01:23,00:00:02,14,GSW,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,4,00:10:29,00:01:31,00:00:08,15,GSW,shot,Patrick McCaw,,,,,,,,,Quinn Cook,2,,,made,,Fadeaway Jumper,12,57,104,30.7,78.6,Cook 12' Fadeaway Jumper (2 PTS) (McCaw 1 AST)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,4,00:10:15,00:01:45,00:00:14,17,UTA,miss,,,,JaVale McGee,,,,,,Joe Ingles,0,,,missed,,Driving Finger Roll Layup,7,-9,69,25.9,11.9,"MISS Ingles 7' Driving Finger Roll Layup, McGee BLOCK (2 BLK)"
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,0,4,00:10:08,00:01:52,00:00:07,19,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:1 Def:0)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:10:07,00:01:53,00:00:01,20,UTA,shot,Derrick Favors,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,23,-228,12,47.8,6.2,Ingles  3PT Jump Shot (3 PTS) (Favors 1 AST)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:52,00:02:08,00:00:15,22,GSW,miss,,,,Donovan Mitchell,,,,,,Patrick McCaw,0,,,missed,,unknown,2,-22,10,22.8,88.0,"Mitchell BLOCK (1 BLK), MISS McCaw 2' Cutting Layup Shot"
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:48,00:02:12,00:00:04,24,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:35,00:02:25,00:00:13,25,UTA,miss,,,,Kevon Looney,,,,,,Ricky Rubio,0,,,missed,,Driving Finger Roll Layup,6,54,36,19.6,8.6,"MISS Rubio 6' Driving Finger Roll Layup, Looney BLOCK (1 BLK)"
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:35,00:02:25,00:00:00,32,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:34,00:02:26,00:00:01,27,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,26,-82,243,33.2,29.3,MISS Ingles 26' 3PT Jump Shot
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:33,00:02:27,00:00:01,28,GSW,rebound,,,,,,,,,,Quinn Cook,,,,,,rebound defensive,,,,,,Cook REBOUND (Off:0 Def:1)
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:26,00:02:34,00:00:07,29,GSW,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Jump Shot,13,21,127,27.1,76.3,MISS McGee 13' Jump Shot
"=""0021701102""",2017-2018 Regular Season,2018-03-25,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Patrick McCaw,Kevon Looney,JaVale McGee,Nick Young,Quinn Cook,1,3,4,00:09:24,00:02:36,00:00:02,30,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:2)
