game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Nikola Jokic,Joel Embiid,,,,,,,Joel Embiid,,Dario Saric,,,,jump ball,,,,,,Jump Ball Embiid vs. Jokic: Tip to Saric
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:53,00:00:07,00:00:07,7,PHI,miss,,,,,,,,,,Robert Covington,0,,,missed,,Jump Shot,25,226,116,47.6,77.4,MISS Covington 25' 3PT Jump Shot
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:49,00:00:11,00:00:04,8,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:44,00:00:16,00:00:05,9,DEN,shot,Jamal Murray,,,,,,,,,Will Barton,3,,,made,,Jump Shot,26,212,158,3.8,20.8,Barton 26' 3PT Jump Shot (3 PTS) (Murray 1 AST)
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:29,00:00:31,00:00:15,11,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Reverse Layup,2,13,12,26.3,87.8,MISS Embiid 2' Reverse Layup
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:27,00:00:33,00:00:02,12,DEN,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:1)
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:19,00:00:41,00:00:08,13,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Step Back Jump Shot,9,89,-9,16.1,4.1,MISS Millsap 9' Step Back Jump Shot
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:16,00:00:44,00:00:03,14,PHI,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,3,0,00:11:14,00:00:46,00:00:02,15,PHI,turnover,,,,,,,,,,Robert Covington,,,lost ball ,,Wilson Chandler,lost ball ,,,,,,"Chandler STEAL (1 STL), Covington Lost Ball Turnover (P1.T1)"
"=""0021701105""",2017-2018 Regular Season,2018-03-26,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,6,0,00:11:10,00:00:50,00:00:04,17,DEN,shot,Wilson Chandler,,,,,,,,,Will Barton,3,,,made,,Jump Shot,27,204,173,4.6,22.3,Barton 27' 3PT Jump Shot (6 PTS) (Chandler 1 AST)
