game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,,jump ball,,Tristan Thompson,Dwight Howard,,,,,,,Dwight Howard,,,,,,jump ball,,,,,,Jump Ball Howard vs. Thompson: Tip to
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:39,00:00:21,00:00:21,7,CLE,foul,,,,,,,,Dwight Howard,,Tristan Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P1.T1) (K.Scott)
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,1,00:11:39,00:00:21,00:00:00,9,CHA,free throw,,,,,,,1,,2,Dwight Howard,1,,,made,,Free Throw 1 of 2,,,,,,Howard Free Throw 1 of 2 (1 PTS)
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:39,00:00:21,00:00:00,10,CHA,free throw,,,,,,,2,,2,Dwight Howard,1,,,made,,Free Throw 2 of 2,,,,,,Howard Free Throw 2 of 2 (2 PTS)
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:22,00:00:38,00:00:17,11,CLE,miss,,,,Dwight Howard,,,,,,Jeff Green,0,,,missed,,unknown,4,-26,27,27.6,7.7,"MISS Green 4' Driving Layup, Howard BLOCK (1 BLK)"
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:22,00:00:38,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Cavaliers Rebound
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:11:17,00:00:43,00:00:05,14,CLE,shot,,,,,,,,,,George Hill,2,,,made,,Jump Shot,16,12,163,23.8,21.3,G. Hill 16' Jump Shot (2 PTS)
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:11:02,00:00:58,00:00:15,15,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,24,-230,84,2.0,80.6,MISS Williams 24' 3PT Jump Shot
"=""0021701116""",2017-2018 Regular Season,2018-03-28,LeBron James,Jeff Green,Tristan Thompson,George Hill,Rodney Hood,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:11:00,00:01:00,00:00:02,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HORNETS Rebound
