game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Nikola Vucevic,,,,,,,Nikola Vucevic,,Allen Crabbe,,,,jump ball,,,,,,Jump Ball Vucevic vs. Allen: Tip to Crabbe
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,2,0,00:11:45,00:00:15,00:00:15,7,BKN,shot,,,,,,,,,,Rondae Hollis-Jefferson,2,,,made,,unknown,3,-30,-1,28.0,4.9,Hollis-Jefferson 3' Driving Layup (2 PTS)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,2,0,00:11:20,00:00:40,00:00:25,8,ORL,miss,,,,,,,,,,Mario Hezonja,0,,,missed,,Jump Shot,27,-134,230,11.6,66.0,MISS Hezonja 27' 3PT Jump Shot
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,2,0,00:11:16,00:00:44,00:00:04,9,BKN,rebound,,,,,,,,,,Allen Crabbe,,,,,,rebound defensive,,,,,,Crabbe REBOUND (Off:0 Def:1)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,0,00:11:14,00:00:46,00:00:02,10,BKN,shot,D'Angelo Russell,,,,,,,,,DeMarre Carroll,3,,,made,,Running Jump Shot,25,-179,171,42.9,22.1,Carroll 25' 3PT Running Jump Shot (3 PTS) (Russell 1 AST)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,0,00:10:51,00:01:09,00:00:23,13,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Jump Shot,21,-145,149,10.5,74.1,MISS Vucevic 21' Jump Shot
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,0,00:10:48,00:01:12,00:00:03,14,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,0,00:10:46,00:01:14,00:00:02,15,ORL,foul,,,,,,,,Rondae Hollis-Jefferson,,Rodney Purvis,,,s.foul,,,s.foul,,,,,,Purvis S.FOUL (P1.T1) (J.Goldenberg)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,6,0,00:10:46,00:01:14,00:00:00,17,BKN,free throw,,,,,,,1,,2,Rondae Hollis-Jefferson,1,,,made,,Free Throw 1 of 2,,,,,,Hollis-Jefferson Free Throw 1 of 2 (3 PTS)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,6,0,00:10:46,00:01:14,00:00:00,24,BKN,free throw,,,,,,,2,,2,Rondae Hollis-Jefferson,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Hollis-Jefferson Free Throw 2 of 2
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,6,0,00:10:46,00:01:14,00:00:00,25,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,6,0,00:10:34,00:01:26,00:00:12,18,ORL,miss,,,,,,,,,,D.J. Augustin,0,,,missed,,unknown,8,-78,12,17.2,87.8,MISS Augustin 8' Driving Layup
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,6,0,00:10:30,00:01:30,00:00:04,20,BKN,rebound,,,,,,,,,,DeMarre Carroll,,,,,,rebound defensive,,,,,,Carroll REBOUND (Off:0 Def:1)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,8,0,00:10:23,00:01:37,00:00:07,21,BKN,shot,D'Angelo Russell,,,,,,,,,Jarrett Allen,2,,,made,,unknown,1,-3,10,25.3,6.0,Allen 1' Cutting Dunk Shot (2 PTS) (Russell 2 AST)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,8,0,00:10:23,00:01:37,00:00:00,23,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,MAGIC Timeout: Regular (Full 1 Short 0)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,8,3,00:10:07,00:01:53,00:00:16,26,ORL,shot,,,,,,,,,,Aaron Gordon,3,,,made,,Pullup Jump Shot,26,65,249,31.5,64.1,Gordon 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,8,3,00:09:49,00:02:11,00:00:18,28,ORL,foul,,,,,,,,D'Angelo Russell,,Aaron Gordon,,,s.foul,,,s.foul,,,,,,Gordon S.FOUL (P1.T2) (D.Stafford)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,3,00:09:49,00:02:11,00:00:00,30,BKN,free throw,,,,,,,1,,2,D'Angelo Russell,1,,,made,,Free Throw 1 of 2,,,,,,Russell Free Throw 1 of 2 (1 PTS)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:49,00:02:11,00:00:00,31,BKN,free throw,,,,,,,2,,2,D'Angelo Russell,1,,,made,,Free Throw 2 of 2,,,,,,Russell Free Throw 2 of 2 (2 PTS)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:40,00:02:20,00:00:09,32,ORL,miss,,,,,,,,,,D.J. Augustin,0,,,missed,,Pullup Jump Shot,25,-54,248,19.6,64.2,MISS Augustin 25' 3PT Pullup Jump Shot
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:37,00:02:23,00:00:03,33,BKN,rebound,,,,,,,,,,DeMarre Carroll,,,,,,rebound defensive,,,,,,Carroll REBOUND (Off:0 Def:2)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:26,00:02:34,00:00:11,34,BKN,miss,,,,,,,,,,Jarrett Allen,0,,,missed,,unknown,4,-35,26,28.5,7.6,MISS Allen 4' Cutting Layup Shot
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:25,00:02:35,00:00:01,35,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:22,00:02:38,00:00:03,36,BKN,miss,,,,,,,,,,Allen Crabbe,0,,,missed,,Jump Shot,25,-223,119,47.3,16.9,MISS Crabbe 25' 3PT Jump Shot
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,3,00:09:18,00:02:42,00:00:04,37,ORL,rebound,,,,,,,,,,Mario Hezonja,,,,,,rebound defensive,,,,,,Hezonja REBOUND (Off:0 Def:1)
"=""0021701117""",2017-2018 Regular Season,2018-03-28,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Mario Hezonja,Aaron Gordon,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,10,5,00:09:13,00:02:47,00:00:05,38,ORL,shot,Mario Hezonja,,,,,,,,,Nikola Vucevic,2,,,made,,Running Layup,3,-5,34,24.5,85.6,Vucevic 3' Running Layup (2 PTS) (Hezonja 1 AST)
