game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Marcin Gortat,Andre Drummond,,,,,,,Andre Drummond,,Tomas Satoransky,,,,jump ball,,,,,,Jump Ball Drummond vs. Gortat: Tip to Satoransky
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:44,00:00:16,00:00:16,7,WAS,miss,,,,,,,,,,Marcin Gortat,0,,,missed,,Jump Shot,14,-112,83,36.2,13.3,MISS Gortat 14' Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:42,00:00:18,00:00:02,8,DET,rebound,,,,,,,,,,Stanley Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:35,00:00:25,00:00:07,9,DET,miss,,,,,,,,,,Anthony Tolliver,0,,,missed,,Jump Shot,27,105,247,35.5,64.3,MISS Tolliver 27' 3PT Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:32,00:00:28,00:00:03,10,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:0)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:31,00:00:29,00:00:01,11,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Layup,2,3,16,25.3,87.4,MISS Drummond 2' Layup
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:31,00:00:29,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:28,00:00:32,00:00:03,13,DET,miss,,,,,,,,,,Stanley Johnson,0,,,missed,,Layup,5,-23,49,22.7,84.1,MISS Johnson 5' Layup
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:21,00:00:39,00:00:07,14,DET,rebound,,,,,,,,,,Stanley Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:11:21,00:00:39,00:00:00,15,DET,shot,,,,,,,,,,Stanley Johnson,2,,,made,,unknown,1,0,-6,25.0,89.6,Johnson 1' Tip Layup Shot (2 PTS)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:11:12,00:00:48,00:00:09,16,WAS,miss,,,,,,,,,,Marcin Gortat,0,,,missed,,Hook Shot,8,-3,83,25.3,13.3,MISS Gortat 8' Hook Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:11:07,00:00:53,00:00:05,17,DET,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:10:58,00:01:02,00:00:09,18,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,Jump Shot,27,135,231,38.5,65.9,MISS Bullock 27' 3PT Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:10:56,00:01:04,00:00:02,19,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:10:47,00:01:13,00:00:09,20,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Jump Shot,23,232,2,1.8,5.2,MISS Mark Morris  3PT Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:10:43,00:01:17,00:00:04,21,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:1 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,4,00:10:34,00:01:26,00:00:09,22,DET,shot,Reggie Jackson,,,,,,,,,Andre Drummond,2,,,made,,Alley Oop Dunk,1,-8,5,24.2,88.5,Drummond 1' Alley Oop Dunk (2 PTS) (Jackson 1 AST)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,4,00:10:10,00:01:50,00:00:24,24,WAS,miss,,,,,,,,,,Otto Porter Jr.,0,,,missed,,Floating Jump Shot,6,30,53,22.0,10.3,MISS Porter Jr. 6' Floating Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,4,00:10:06,00:01:54,00:00:04,25,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound offensive,,,,,,Gortat REBOUND (Off:1 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,4,00:10:04,00:01:56,00:00:02,26,WAS,shot,,,,,,,,,,Marcin Gortat,2,,,made,,Hook Shot,4,19,36,23.1,8.6,Gortat 4' Hook Shot (2 PTS)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,4,00:09:50,00:02:10,00:00:14,27,DET,miss,,,,,,,,,,Stanley Johnson,0,,,missed,,Pullup Jump Shot,15,107,105,35.7,78.5,MISS Johnson 15' Pullup Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,4,00:09:48,00:02:12,00:00:02,28,WAS,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Mark Morris REBOUND (Off:0 Def:1)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,4,4,00:09:36,00:02:24,00:00:12,29,WAS,shot,Otto Porter Jr.,,,,,,,,,Marcin Gortat,2,,,made,,Hook Shot,10,74,62,17.6,11.2,Gortat 10' Hook Shot (4 PTS) (Porter Jr. 1 AST)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,4,4,00:09:14,00:02:46,00:00:22,31,DET,turnover,,,,,,,,,,Reggie Bullock,,,bad pass ,,Marcin Gortat,bad pass ,,,,,,"Gortat STEAL (1 STL), Bullock Bad Pass Turnover (P1.T1)"
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:09:08,00:02:52,00:00:06,33,WAS,shot,,,,,,,,,,Bradley Beal,2,,,made,,unknown,2,-21,8,27.1,5.8,Beal 2' Driving Layup (2 PTS)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:08:54,00:03:06,00:00:14,34,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Pullup Jump Shot,14,-17,143,23.3,74.7,MISS Jackson 14' Pullup Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:08:53,00:03:07,00:00:01,35,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:1 Def:2)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:08:53,00:03:07,00:00:00,36,DET,foul,,,,,,,,Marcin Gortat,,Andre Drummond,,,l.b.foul,,,l.b.foul,,,,,,Drummond L.B.FOUL (P1.T1) (K.Lane)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:08:40,00:03:20,00:00:13,38,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Jump Shot,17,-90,148,34.0,19.8,MISS Beal 17' Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,4,00:08:36,00:03:24,00:00:04,39,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:1 Def:2)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,6,6,00:08:16,00:03:44,00:00:20,41,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,Floating Jump Shot,11,0,110,25.0,78.0,Jackson 11' Floating Jump Shot (2 PTS)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,8,6,00:08:03,00:03:57,00:00:13,42,WAS,shot,Otto Porter Jr.,,,,,,,,,Marcin Gortat,2,,,made,,Jump Shot,8,0,78,25.0,12.8,Gortat 8' Jump Shot (6 PTS) (Porter Jr. 2 AST)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,8,8,00:07:50,00:04:10,00:00:13,44,DET,shot,Reggie Jackson,,,,,,,,,Andre Drummond,2,,,made,,Layup,2,14,6,26.4,88.4,Drummond 2' Layup (4 PTS) (Jackson 2 AST)
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,8,8,00:07:29,00:04:31,00:00:21,46,WAS,miss,,,,,,,,,,Otto Porter Jr.,0,,,missed,,Jump Shot,26,-60,250,31.0,30.0,MISS Porter Jr. 26' 3PT Jump Shot
"=""0021701124""",2017-2018 Regular Season,2018-03-29,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,1,8,8,00:07:26,00:04:34,00:00:03,47,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:1 Def:3)
