game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Pau Gasol,,,,,,,Pau Gasol,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Gasol vs. Adams: Tip to Westbrook
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,0,00:11:47,00:00:13,00:00:13,7,OKC,turnover,,,,,,,,,,Paul George,,,lost ball ,,Kyle Anderson,lost ball ,,,,,,"George Lost Ball Turnover (P1.T1), Anderson STEAL (1 STL)"
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,2,00:11:43,00:00:17,00:00:04,9,SAS,shot,Dejounte Murray,,,,,,,,,Kyle Anderson,2,,,made,,Running Dunk,0,-2,4,24.8,88.6,Anderson  Running Dunk (2 PTS) (Murray 1 AST)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,2,00:11:16,00:00:44,00:00:27,11,OKC,turnover,,,,,,,,,,Paul George,,,lost ball ,,Kyle Anderson,lost ball ,,,,,,"George Lost Ball Turnover (P2.T2), Anderson STEAL (2 STL)"
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,2,00:11:14,00:00:46,00:00:02,13,OKC,foul,,,,,,,,Dejounte Murray,,Russell Westbrook,,,p.foul,,,p.foul,,,,,,Westbrook P.FOUL (P1.T1) (G.Zielinski)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,0,4,00:11:01,00:00:59,00:00:13,16,SAS,shot,Dejounte Murray,,,,,,,,,LaMarcus Aldridge,2,,,made,,Step Back Jump Shot,16,93,126,34.3,76.4,Aldridge 16' Step Back Jump Shot (2 PTS) (Murray 2 AST)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,4,00:10:47,00:01:13,00:00:14,17,OKC,shot,Russell Westbrook,,,,,,,,,Corey Brewer,3,,,made,,Jump Shot,23,-227,-6,47.7,4.4,Brewer  3PT Jump Shot (3 PTS) (Westbrook 1 AST)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,4,00:10:30,00:01:30,00:00:17,20,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,Jump Shot,24,-234,26,1.6,86.4,MISS Murray 24' 3PT Jump Shot
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,4,00:10:25,00:01:35,00:00:05,21,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,4,00:10:22,00:01:38,00:00:03,22,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Pullup Jump Shot,16,-85,136,33.5,18.6,MISS George 16' Pullup Jump Shot
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,4,00:10:17,00:01:43,00:00:05,23,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,3,7,00:09:59,00:02:01,00:00:18,24,SAS,shot,Kyle Anderson,,,,,,,,,LaMarcus Aldridge,3,,,made,,Pullup Jump Shot,25,-17,253,23.3,63.7,Aldridge 25' 3PT Pullup Jump Shot (5 PTS) (Anderson 1 AST)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,5,7,00:09:40,00:02:20,00:00:19,26,OKC,shot,Paul George,,,,,,,,,Steven Adams,2,,,made,,Jump Shot,10,67,69,18.3,11.9,Adams 10' Jump Shot (2 PTS) (George 1 AST)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,5,7,00:09:26,00:02:34,00:00:14,28,SAS,turnover,,,,,,,,,,Dejounte Murray,,,lost ball ,,Carmelo Anthony,lost ball ,,,,,,"Anthony STEAL (1 STL), Murray Lost Ball Turnover (P1.T1)"
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,5,7,00:09:24,00:02:36,00:00:02,30,SAS,foul,,,,,,,,Corey Brewer,,Patty Mills,,,s.foul,,,s.foul,,,,,,Mills S.FOUL (P1.T1) (D.Taylor)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,5,7,00:09:24,00:02:36,00:00:00,32,OKC,free throw,,,,,,,1,,2,Corey Brewer,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Brewer Free Throw 1 of 2
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,5,7,00:09:24,00:02:36,00:00:00,33,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:24,00:02:36,00:00:00,34,OKC,free throw,,,,,,,2,,2,Corey Brewer,1,,,made,,Free Throw 2 of 2,,,,,,Brewer Free Throw 2 of 2 (4 PTS)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:13,00:02:47,00:00:11,35,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,Jump Shot,23,-231,0,1.9,89.0,MISS Murray  3PT Jump Shot
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:10,00:02:50,00:00:03,36,OKC,rebound,,,,,,,,,,Carmelo Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:05,00:02:55,00:00:05,37,SAS,foul,,,,,,,,Steven Adams,,Pau Gasol,,,s.foul,,,s.foul,,,,,,Gasol S.FOUL (P1.T2) (J.Goble)
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:05,00:02:55,00:00:00,39,OKC,free throw,,,,,,,1,,2,Steven Adams,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Adams Free Throw 1 of 2
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:05,00:02:55,00:00:00,40,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
"=""0021701126""",2017-2018 Regular Season,2018-03-29,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Patty Mills,Dejounte Murray,1,6,7,00:09:05,00:02:55,00:00:00,41,OKC,free throw,,,,,,,2,,2,Steven Adams,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Adams Free Throw 2 of 2
