game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Cristiano Felicio,Nikola Vucevic,,,,,,,Nikola Vucevic,,D.J. Augustin,,,,jump ball,,,,,,Jump Ball Vucevic vs. Felicio: Tip to Augustin
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,0,2,00:11:43,00:00:17,00:00:17,7,ORL,shot,,,,,,,,,,Aaron Gordon,2,,,made,,Turnaround Fadeaway ,15,-143,50,10.7,84.0,Gordon 15' Turnaround Fadeaway (2 PTS)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:11:28,00:00:32,00:00:15,8,CHI,shot,Cameron Payne,,,,,,,,,Lauri Markkanen,3,,,made,,Jump Shot,26,152,215,9.8,26.5,Markkanen 26' 3PT Jump Shot (3 PTS) (Payne 1 AST)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:11:12,00:00:48,00:00:16,11,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Jump Shot,28,-180,215,7.0,67.5,MISS Gordon 28' 3PT Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:11:08,00:00:52,00:00:04,12,CHI,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:10:48,00:01:12,00:00:20,13,CHI,miss,,,,,,,,,,David Nwaba,0,,,missed,,Pullup Jump Shot,12,-93,73,34.3,12.3,MISS Nwaba 12' Pullup Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:10:43,00:01:17,00:00:05,14,CHI,rebound,,,,,,,,,,Cristiano Felicio,,,,,,rebound offensive,,,,,,Felicio REBOUND (Off:1 Def:0)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:10:43,00:01:17,00:00:00,15,CHI,miss,,,,,,,,,,Cristiano Felicio,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Felicio 1' Tip Layup Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,3,2,00:10:43,00:01:17,00:00:00,16,CHI,rebound,,,,,,,,,,Cristiano Felicio,,,,,,rebound offensive,,,,,,Felicio REBOUND (Off:2 Def:0)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,2,00:10:41,00:01:19,00:00:02,17,CHI,shot,,,,,,,,,,Cristiano Felicio,2,,,made,,Putback Layup,1,0,-6,25.0,4.4,Felicio 1' Putback Layup (2 PTS)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,5,5,00:10:32,00:01:28,00:00:09,18,ORL,shot,Nikola Vucevic,,,,,,,,,Rodney Purvis,3,,,made,,Jump Shot,25,-177,182,7.3,70.8,Purvis 25' 3PT Jump Shot (3 PTS) (Vucevic 1 AST)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:10:15,00:01:45,00:00:17,20,CHI,shot,David Nwaba,,,,,,,,,Cristiano Felicio,2,,,made,,Reverse Layup,2,-9,13,25.9,6.3,Felicio 2' Reverse Layup (4 PTS) (Nwaba 1 AST)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:10:02,00:01:58,00:00:13,22,ORL,miss,,,,,,,,,,Rodney Purvis,0,,,missed,,Jump Shot,27,133,236,38.3,65.4,MISS Purvis 27' 3PT Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:09:58,00:02:02,00:00:04,23,CHI,rebound,,,,,,,,,,Cristiano Felicio,,,,,,rebound defensive,,,,,,Felicio REBOUND (Off:2 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:09:47,00:02:13,00:00:11,24,CHI,turnover,,,,,,,,,,Lauri Markkanen,,,,,,unknown,,,,,,Markkanen Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:09:32,00:02:28,00:00:15,25,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Jump Shot,26,149,219,39.9,67.1,MISS Vucevic 26' 3PT Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,7,5,00:09:28,00:02:32,00:00:04,26,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,5,00:09:19,00:02:41,00:00:09,28,CHI,shot,Cameron Payne,,,,,,,,,Lauri Markkanen,2,,,made,,Jump Shot,14,-125,65,37.5,11.5,Markkanen 14' Jump Shot (5 PTS) (Payne 2 AST)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,5,00:08:57,00:03:03,00:00:22,30,ORL,miss,,,,,,,,,,Rodney Purvis,0,,,missed,,unknown,2,5,21,25.5,86.9,MISS Purvis 2' Driving Layup
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,5,00:08:55,00:03:05,00:00:02,31,CHI,rebound,,,,,,,,,,Cristiano Felicio,,,,,,rebound defensive,,,,,,Felicio REBOUND (Off:2 Def:2)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,5,00:08:50,00:03:10,00:00:05,32,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,95,236,15.5,28.6,MISS Markkanen 25' 3PT Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,5,00:08:47,00:03:13,00:00:03,33,ORL,rebound,,,,,,,,,,D.J. Augustin,,,,,,rebound defensive,,,,,,Augustin REBOUND (Off:0 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:39,00:03:21,00:00:08,34,ORL,shot,,,,,,,,,,D.J. Augustin,2,,,made,,Layup,4,-31,22,21.9,86.8,Augustin 4' Layup (2 PTS)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:26,00:03:34,00:00:13,35,CHI,miss,,,,,,,,,,Justin Holiday,0,,,missed,,unknown,2,15,7,23.5,5.7,MISS Holiday 2' Driving Layup
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:24,00:03:36,00:00:02,36,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:22,00:03:38,00:00:02,37,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Running Jump Shot,27,157,216,40.7,67.4,MISS Gordon 27' 3PT Running Jump Shot
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:19,00:03:41,00:00:03,38,CHI,rebound,,,,,,,,,,David Nwaba,,,,,,rebound defensive,,,,,,Nwaba REBOUND (Off:0 Def:1)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:15,00:03:45,00:00:04,39,CHI,foul,,,,,,,,Jonathan Isaac,,Cristiano Felicio,,,off.foul,,,off.foul,,,,,,Felicio OFF.Foul (P1) (J.Sterling)
"=""0021701129""",2017-2018 Regular Season,2018-03-30,Justin Holiday,Lauri Markkanen,Cristiano Felicio,David Nwaba,Cameron Payne,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Rodney Purvis,D.J. Augustin,1,9,7,00:08:15,00:03:45,00:00:00,41,CHI,turnover,,,,,,,,,,Cristiano Felicio,,,offensive foul turnover,,,offensive foul turnover,,,,,,Felicio Offensive Foul Turnover (P1.T2)
