game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Larry Nance Jr.,,,,,,,Larry Nance Jr.,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Nance Jr. vs. Davis: Tip to Rondo
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:34,00:00:26,00:00:26,7,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Turnaround Jump Shot,16,-105,120,35.5,17.0,MISS Davis 16' Turnaround Jump Shot
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:30,00:00:30,00:00:04,8,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:20,00:00:40,00:00:10,9,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,26,118,235,36.8,65.5,MISS Love 26' 3PT Jump Shot
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:16,00:00:44,00:00:04,10,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:16,00:00:44,00:00:00,11,NOP,turnover,,,,,,,,,,Jrue Holiday,,,,,,unknown,,,,,,Holiday Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:11:02,00:00:58,00:00:14,12,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Pullup Jump Shot,18,70,162,32.0,72.8,MISS Love 18' Pullup Jump Shot
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,0,00:10:59,00:01:01,00:00:03,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CAVALIERS Rebound
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,0,2,00:10:44,00:01:16,00:00:15,15,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,unknown,1,-3,-5,24.7,89.5,James 1' Driving Dunk (2 PTS)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,2,2,00:10:32,00:01:28,00:00:12,16,NOP,shot,E'Twaun Moore,,,,,,,,,Rajon Rondo,2,,,made,,Jump Shot,14,-144,0,39.4,5.0,Rondo 14' Jump Shot (2 PTS) (Moore 1 AST)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,2,4,00:10:24,00:01:36,00:00:08,18,CLE,shot,,,,,,,,,,Rodney Hood,2,,,made,,unknown,1,-8,0,24.2,89.0,Hood 1' Driving Layup (2 PTS)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,2,4,00:10:15,00:01:45,00:00:09,19,NOP,miss,,,,,,,,,,Rajon Rondo,0,,,missed,,unknown,1,2,5,24.8,5.5,MISS Rondo 1' Driving Floating Jump Shot
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,2,4,00:10:12,00:01:48,00:00:03,20,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,2,6,00:10:09,00:01:51,00:00:03,21,CLE,shot,Kevin Love,,,,,,,,,LeBron James,2,,,made,,Driving Finger Roll Layup,0,2,4,25.2,88.6,James  Driving Finger Roll Layup (4 PTS) (Love 1 AST)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,6,00:10:00,00:02:00,00:00:09,23,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Step Back Jump Shot,15,-145,11,39.5,6.1,Holiday 15' Step Back Jump Shot (2 PTS)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,6,00:09:55,00:02:05,00:00:05,24,NOP,foul,,,,,,,,Larry Nance Jr.,,Jrue Holiday,,,p.foul,,,p.foul,,,,,,Holiday P.FOUL (P1.T1) (T.Washington)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,6,00:09:43,00:02:17,00:00:12,26,NOP,foul,,,,,,,,,,E'Twaun Moore,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,Pelicans T.Foul (Def. 3 Sec Moore ) (N.Buchert)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,7,00:09:43,00:02:17,00:00:00,27,CLE,free throw,,,,,,,1,,1,Kevin Love,1,,,made,,Free Throw Technical,,,,,,Love Free Throw Technical (1 PTS)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,7,00:09:43,00:02:17,00:00:00,28,NOP,sub,,,,,Solomon Hill,E'Twaun Moore,,,,E'Twaun Moore,,,,,,sub,,,,,,SUB: S. Hill FOR Moore
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,7,00:09:39,00:02:21,00:00:04,33,CLE,turnover,,,,,,,,,,Larry Nance Jr.,,,bad pass ,,Anthony Davis,bad pass ,,,,,,"Davis STEAL (1 STL), Nance Jr. Bad Pass Turnover (P1.T1)"
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,7,00:09:34,00:02:26,00:00:05,35,NOP,turnover,,,,,,,,,,Rajon Rondo,,,bad pass ,,LeBron James,bad pass ,,,,,,"Rondo Bad Pass Turnover (P1.T2), James STEAL (1 STL)"
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:27,00:02:33,00:00:07,30,CLE,shot,LeBron James,,,,,,,,,Rodney Hood,2,,,made,,unknown,1,3,13,25.3,87.7,Hood 1' Cutting Dunk Shot (4 PTS) (James 1 AST)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:19,00:02:41,00:00:08,32,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Pelicans Timeout: Regular (Reg.1 Short 0)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:08,00:02:52,00:00:11,37,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Fadeaway Jumper,12,-118,31,36.8,8.1,MISS Holiday 12' Fadeaway Jumper
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:03,00:02:57,00:00:05,38,NOP,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:0)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:03,00:02:57,00:00:00,39,NOP,miss,,,,,,,,,,Emeka Okafor,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Okafor 1' Tip Layup Shot
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,4,9,00:09:03,00:02:57,00:00:00,40,NOP,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:2 Def:0)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,6,9,00:08:59,00:03:01,00:00:04,41,NOP,shot,,,,,,,,,,Emeka Okafor,2,,,made,,unknown,1,0,-6,25.0,4.4,Okafor 1' Tip Layup Shot (2 PTS)
"=""0021701131""",2017-2018 Regular Season,2018-03-30,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,Solomon Hill,LeBron James,Kevin Love,Larry Nance Jr.,Rodney Hood,George Hill,1,6,9,00:08:51,00:03:09,00:00:08,42,CLE,turnover,,,,,,,,,,Kevin Love,,,bad pass ,,Jrue Holiday,bad pass ,,,,,,"Holiday STEAL (1 STL), Love Bad Pass Turnover (P1.T2)"
