game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,DeAndre Jordan,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Danilo Gallinari,,,,jump ball,,,,,,Jump Ball Nurkic vs. Jordan: Tip to Gallinari
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:35,00:00:25,00:00:25,7,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,35,251,21.5,30.1,MISS Harris 25' 3PT Jump Shot
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:31,00:00:29,00:00:04,8,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:0)
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:24,00:00:36,00:00:07,9,LAC,turnover,,,,,,,,,,DeAndre Jordan,,,bad pass ,,Al-Farouq Aminu,bad pass ,,,,,,"Jordan Bad Pass Turnover (P1.T1), Aminu STEAL (1 STL)"
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:19,00:00:41,00:00:05,11,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Reverse Layup,1,5,-5,25.5,89.5,MISS Aminu 1' Reverse Layup
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:17,00:00:43,00:00:02,12,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:1 Def:1)
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:58,00:01:02,00:00:19,13,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,unknown,3,-10,27,26.0,7.7,MISS Gallinari 3' Driving Layup
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:54,00:01:06,00:00:04,14,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:2 Def:1)
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:50,00:01:10,00:00:04,15,LAC,turnover,,,,,,,,,,DeAndre Jordan,,,bad pass ,,Al-Farouq Aminu,bad pass ,,,,,,"Jordan Bad Pass Turnover (P2.T2), Aminu STEAL (2 STL)"
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:44,00:01:16,00:00:06,17,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Jump Shot,24,207,130,45.7,76.0,MISS McCollum 24' 3PT Jump Shot
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:40,00:01:20,00:00:04,18,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:2 Def:2)
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:26,00:01:34,00:00:14,19,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,27,-133,236,38.3,28.6,MISS Rivers 27' 3PT Jump Shot
"=""0021701137""",2017-2018 Regular Season,2018-03-30,Danilo Gallinari,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:10:24,00:01:36,00:00:02,20,LAC,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound offensive,,,,,,Harris REBOUND (Off:1 Def:0)
