game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Andre Drummond,Jarrett Allen,,,,,,,Jarrett Allen,,Rondae Hollis-Jefferson,,,,jump ball,,,,,,Jump Ball Allen vs. Drummond: Tip to Hollis-Jefferson
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:11:37,00:00:23,00:00:23,7,DET,foul,,,,,,,,Jarrett Allen,,Andre Drummond,,,s.foul,,,s.foul,,,,,,Drummond S.FOUL (P1.T1) (D.Collins)
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:11:37,00:00:23,00:00:00,9,BKN,free throw,,,,,,,1,,2,Jarrett Allen,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Allen Free Throw 1 of 2
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:11:37,00:00:23,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,NETS Rebound
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,1,00:11:37,00:00:23,00:00:00,11,BKN,free throw,,,,,,,2,,2,Jarrett Allen,1,,,made,,Free Throw 2 of 2,,,,,,Allen Free Throw 2 of 2 (1 PTS)
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,1,00:11:17,00:00:43,00:00:20,12,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,D'Angelo Russell,bad pass ,,,,,,"Jackson Bad Pass Turnover (P1.T1), Russell STEAL (1 STL)"
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,3,00:11:12,00:00:48,00:00:05,14,BKN,shot,DeMarre Carroll,,,,,,,,,Jarrett Allen,2,,,made,,unknown,2,-3,16,24.7,87.4,Allen 2' Cutting Dunk Shot (3 PTS) (Carroll 1 AST)
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,3,00:10:57,00:01:03,00:00:15,16,DET,shot,Reggie Jackson,,,,,,,,,Stanley Johnson,2,,,made,,unknown,2,19,10,23.1,6.0,Johnson 2' Cutting Layup Shot (2 PTS) (Jackson 1 AST)
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,3,00:10:57,00:01:03,00:00:00,19,BKN,foul,,,,,,,,Stanley Johnson,,Jarrett Allen,,,s.foul,,,s.foul,,,,,,Allen S.FOUL (P1.T1) (D.Collins)
"=""0021701148""",2017-2018 Regular Season,2018-04-01,Stanley Johnson,Anthony Tolliver,Andre Drummond,Reggie Bullock,Reggie Jackson,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,3,00:10:57,00:01:03,00:00:00,21,DET,free throw,,,,,,,1,,1,Stanley Johnson,1,,,made,,Free Throw 1 of 1,,,,,,Johnson Free Throw 1 of 1 (3 PTS)
