game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Zaza Pachulia,Steven Adams,,,,,,,Steven Adams,,Carmelo Anthony,,,,jump ball,,,,,,Jump Ball Adams vs. Pachulia: Tip to Anthony
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,0,00:11:40,00:00:20,00:00:20,7,GSW,foul,,,,,,,,Russell Westbrook,,Klay Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P1.T1) (T.Brown)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,1,00:11:40,00:00:20,00:00:00,9,OKC,free throw,,,,,,,1,,2,Russell Westbrook,1,,,made,,Free Throw 1 of 2,,,,,,Westbrook Free Throw 1 of 2 (1 PTS)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:11:40,00:00:20,00:00:00,10,OKC,free throw,,,,,,,2,,2,Russell Westbrook,1,,,made,,Free Throw 2 of 2,,,,,,Westbrook Free Throw 2 of 2 (2 PTS)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:11:23,00:00:37,00:00:17,11,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,25,194,158,5.6,20.8,MISS Thompson 25' 3PT Pullup Jump Shot
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:11:20,00:00:40,00:00:03,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:11:12,00:00:48,00:00:08,13,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Floating Jump Shot,10,82,57,33.2,83.3,MISS George 10' Floating Jump Shot
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:11:08,00:00:52,00:00:04,14,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:10:51,00:01:09,00:00:17,15,GSW,miss,,,,,,,,,,Zaza Pachulia,0,,,missed,,Jump Shot,13,127,7,12.3,5.7,MISS Pachulia 13' Jump Shot
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,2,00:10:49,00:01:11,00:00:02,16,OKC,rebound,,,,,,,,,,Carmelo Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
"=""0021701163""",2017-2018 Regular Season,2018-04-03,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Paul George,Carmelo Anthony,Steven Adams,Corey Brewer,Russell Westbrook,1,0,4,00:10:30,00:01:30,00:00:19,17,OKC,shot,Corey Brewer,,,,,,,,,Paul George,2,,,made,,unknown,0,-4,3,24.6,88.7,George 1' Cutting Layup Shot (2 PTS) (Brewer 1 AST)
