game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Hassan Whiteside,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Josh Richardson,,,,jump ball,,,,,,Jump Ball Dedmon vs. Whiteside: Tip to Richardson
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,0,00:11:47,00:00:13,00:00:13,7,MIA,foul,,,,,,,,Damion Lee,,Rodney McGruder,,,l.b.foul,,,l.b.foul,,,,,,McGruder L.B.FOUL (P1.T1) (S.Foster)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,0,00:11:47,00:00:13,00:00:00,9,MIA,turnover,,,,,,,,,,Rodney McGruder,,,turnover,,,turnover,,,,,,McGruder No Turnover (P1.T1)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,3,00:11:29,00:00:31,00:00:18,10,ATL,shot,Isaiah Taylor,,,,,,,,,Damion Lee,3,,,made,,Jump Shot,22,-222,19,2.8,87.1,Lee  3PT Jump Shot (3 PTS) (Taylor 1 AST)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,3,00:11:29,00:00:31,00:00:00,12,MIA,foul,,,,,,,,Damion Lee,,Tyler Johnson,,,s.foul,,,s.foul,,,,,,Johnson S.FOUL (P1.T2) (S.Foster)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,3,00:11:29,00:00:31,00:00:00,14,ATL,free throw,,,,,,,1,,1,Damion Lee,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Lee Free Throw 1 of 1
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,0,3,00:11:29,00:00:31,00:00:00,15,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,2,3,00:11:11,00:00:49,00:00:18,16,MIA,shot,Luke Babbitt,,,,,,,,,Tyler Johnson,2,,,made,,Driving Hook Shot,7,-2,70,25.2,12.0,Johnson 7' Driving Hook Shot (2 PTS) (Babbitt 1 AST)
"=""0021701172""",2017-2018 Regular Season,2018-04-04,Rodney McGruder,Luke Babbitt,Hassan Whiteside,Josh Richardson,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Damion Lee,Isaiah Taylor,1,2,3,00:10:53,00:01:07,00:00:18,18,ATL,miss,,,,,,,,,,Damion Lee,0,,,missed,,unknown,13,5,132,25.5,75.8,MISS Lee 13' Driving Floating Jump Shot
