game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Marc Gasol,Anthony Davis,,,,,,,Anthony Davis,,Jrue Holiday,,,,jump ball,,,,,,Jump Ball Davis vs. Gasol: Tip to Holiday
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,2,00:11:42,00:00:18,00:00:18,7,NOP,shot,Rajon Rondo,,,,,,,,,Anthony Davis,2,,,made,,Driving Finger Roll Layup,4,2,43,25.2,84.7,Davis 4' Driving Finger Roll Layup (2 PTS) (Rondo 1 AST)
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,2,00:11:25,00:00:35,00:00:17,9,MEM,turnover,,,,,,,,,,Jarell Martin,,,bad pass ,,E'Twaun Moore,bad pass ,,,,,,"Martin Bad Pass Turnover (P1.T1), Moore STEAL (1 STL)"
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:11:19,00:00:41,00:00:06,11,NOP,shot,,,,,,,,,,E'Twaun Moore,2,,,made,,unknown,1,-1,6,24.9,88.4,Moore 1' Driving Dunk (2 PTS)
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:11:05,00:00:55,00:00:14,12,MEM,turnover,,,,,,,,,,Kobi Simmons,,,,,,unknown,,,,,,Simmons Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:50,00:01:10,00:00:15,13,NOP,miss,,,,Dillon Brooks,,,,,,Jrue Holiday,0,,,missed,,Driving Finger Roll Layup,8,8,79,25.8,81.1,"Brooks BLOCK (1 BLK), MISS Holiday 8' Driving Finger Roll Layup"
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:50,00:01:10,00:00:00,15,MEM,rebound,,,,,,,,,,Jarell Martin,,,,,,rebound defensive,,,,,,Martin REBOUND (Off:0 Def:1)
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:35,00:01:25,00:00:15,16,MEM,turnover,,,,,,,,,,Ben McLemore,,,bad pass ,,Jrue Holiday,bad pass ,,,,,,"McLemore Bad Pass Turnover (P1.T3), Holiday STEAL (1 STL)"
"=""0021701173""",2017-2018 Regular Season,2018-04-04,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Kobi Simmons,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,6,00:10:29,00:01:31,00:00:06,18,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,unknown,0,2,2,25.2,88.8,Holiday  Driving Dunk (2 PTS)
