game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Dwight Howard,Bismack Biyombo,,,,,,,Bismack Biyombo,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Biyombo vs. Howard: Tip to Williams
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,0,0,00:11:50,00:00:10,00:00:10,7,ORL,foul,,,,,,,,Kemba Walker,,Mario Hezonja,,,s.foul,,,s.foul,,,,,,Hezonja S.FOUL (P1.T1) (J.Goble)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,1,0,00:11:50,00:00:10,00:00:00,9,CHA,free throw,,,,,,,1,,2,Kemba Walker,1,,,made,,Free Throw 1 of 2,,,,,,Walker Free Throw 1 of 2 (1 PTS)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,0,00:11:50,00:00:10,00:00:00,10,CHA,free throw,,,,,,,2,,2,Kemba Walker,1,,,made,,Free Throw 2 of 2,,,,,,Walker Free Throw 2 of 2 (2 PTS)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,0,00:11:34,00:00:26,00:00:16,11,ORL,miss,,,,,,,,,,Bismack Biyombo,0,,,missed,,Jump Shot,12,-113,25,13.7,86.5,MISS Biyombo 12' Jump Shot
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,0,00:11:32,00:00:28,00:00:02,12,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,0,00:11:20,00:00:40,00:00:12,13,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Jump Bank Shot,15,-125,88,37.5,13.8,MISS Howard 15' Jump Bank Shot
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,0,00:11:16,00:00:44,00:00:04,14,ORL,rebound,,,,,,,,,,Jamel Artis,,,,,,rebound defensive,,,,,,Artis REBOUND (Off:0 Def:1)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,3,00:11:06,00:00:54,00:00:10,15,ORL,shot,Jamel Artis,,,,,,,,,D.J. Augustin,3,,,made,,Jump Shot,25,-57,242,19.3,64.8,Augustin 25' 3PT Jump Shot (3 PTS) (Artis 1 AST)
"=""0021701182""",2017-2018 Regular Season,2018-04-06,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Jamel Artis,Mario Hezonja,Bismack Biyombo,Wes Iwundu,D.J. Augustin,1,2,3,00:10:50,00:01:10,00:00:16,17,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,24,226,94,2.4,14.4,MISS Williams 24' 3PT Jump Shot
