game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Nikola Jokic,DeAndre Jordan,,,,,,,DeAndre Jordan,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Jordan vs. Jokic: Tip to Harris
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:11:44,00:00:16,00:00:16,7,LAC,miss,,,,,,,,,,Wesley Johnson,0,,,missed,,Jump Shot,23,-225,22,2.5,86.8,MISS W. Johnson  3PT Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:11:39,00:00:21,00:00:05,8,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:11:37,00:00:23,00:00:02,58,LAC,foul,,,,,,,,Jamal Murray,,Austin Rivers,,,p.foul,,,p.foul,,,,,,Rivers P.FOUL (P1.T1) (L.Wood)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:11:29,00:00:31,00:00:08,12,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,25,21,249,22.9,29.9,MISS Millsap 25' 3PT Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,0,00:11:27,00:00:33,00:00:02,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CLIPPERS Rebound
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,2,00:11:16,00:00:44,00:00:11,14,LAC,shot,Tobias Harris,,,,,,,,,Tyrone Wallace,2,,,made,,Jump Shot,5,5,47,25.5,84.3,Wallace 5' Jump Shot (2 PTS) (Harris 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,0,2,00:11:16,00:00:44,00:00:00,16,DEN,violation,,,,,,,,,,Paul Millsap,,,,,,violation:defensive goaltending,,,,,,Millsap Violation:Defensive Goaltending (M.Davis)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,2,00:10:54,00:01:06,00:00:22,17,DEN,shot,Jamal Murray,,,,,,,,,Will Barton,2,,,made,,Jump Shot,2,2,16,24.8,6.6,Barton 2' Jump Shot (2 PTS) (Murray 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,2,00:10:40,00:01:20,00:00:14,19,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Pullup Jump Shot,19,68,182,31.8,70.8,MISS Harris 19' Pullup Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,2,00:10:40,00:01:20,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nuggets Rebound
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,2,00:10:40,00:01:20,00:00:00,21,LAC,foul,,,,,,,,Paul Millsap,,DeAndre Jordan,,,l.b.foul,,,l.b.foul,,,,,,Jordan L.B.FOUL (P1.T2) (L.Wood)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,2,00:10:27,00:01:33,00:00:13,23,DEN,turnover,,,,,,,,,,Paul Millsap,,,lost ball ,,Tobias Harris,lost ball ,,,,,,"Millsap Lost Ball Turnover (P1.T1), Harris STEAL (1 STL)"
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,2,4,00:10:22,00:01:38,00:00:05,25,LAC,shot,Tobias Harris,,,,,,,,,Tyrone Wallace,2,,,made,,Running Layup,2,13,8,26.3,88.2,Wallace 2' Running Layup (4 PTS) (Harris 2 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,4,4,00:10:06,00:01:54,00:00:16,28,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,unknown,7,6,69,24.4,11.9,Murray 7' Driving Floating Jump Shot (2 PTS) (Jokic 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,4,4,00:09:50,00:02:10,00:00:16,30,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,-228,96,2.2,79.4,MISS Harris 25' 3PT Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,4,4,00:09:46,00:02:14,00:00:04,31,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:0)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,4,7,00:09:44,00:02:16,00:00:02,32,LAC,shot,Austin Rivers,,,,,,,,,Tobias Harris,3,,,made,,Jump Shot,22,-223,-1,2.7,89.1,Harris  3PT Jump Shot (3 PTS) (Rivers 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,6,7,00:09:26,00:02:34,00:00:18,34,DEN,shot,Paul Millsap,,,,,,,,,Jamal Murray,2,,,made,,Pullup Jump Shot,21,-12,206,26.2,25.6,Murray 21' Pullup Jump Shot (4 PTS) (Millsap 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,6,9,00:09:09,00:02:51,00:00:17,36,LAC,shot,,,,,,,,,,Wesley Johnson,2,,,made,,Jump Shot,20,72,183,32.2,70.7,W. Johnson 20' Jump Shot (2 PTS)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,9,9,00:08:48,00:03:12,00:00:21,37,DEN,shot,Paul Millsap,,,,,,,,,Nikola Jokic,3,,,made,,Jump Shot,23,-232,1,48.2,5.1,Jokic  3PT Jump Shot (3 PTS) (Millsap 2 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,9,9,00:08:24,00:03:36,00:00:24,39,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,25,-195,155,5.5,73.5,MISS Rivers 25' 3PT Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,9,9,00:08:24,00:03:36,00:00:00,40,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nuggets Rebound
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,9,9,00:08:12,00:03:48,00:00:12,41,LAC,foul,,,,,,,,Jamal Murray,,Wesley Johnson,,,p.foul,,,p.foul,,,,,,W. Johnson P.FOUL (P1.T3) (L.Wood)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,11,9,00:08:06,00:03:54,00:00:06,43,DEN,shot,,,,,,,,,,Jamal Murray,2,,,made,,Jump Shot,12,-38,116,28.8,16.6,Murray 12' Jump Shot (6 PTS)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,11,9,00:07:41,00:04:19,00:00:25,44,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,148,199,39.8,69.1,MISS Harris 25' 3PT Jump Shot
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,11,9,00:07:36,00:04:24,00:00:05,45,DEN,rebound,,,,,,,,,,Wilson Chandler,,,,,,rebound defensive,,,,,,Chandler REBOUND (Off:0 Def:1)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,13,9,00:07:33,00:04:27,00:00:03,46,DEN,shot,Wilson Chandler,,,,,,,,,Paul Millsap,2,,,made,,Turnaround Jump Shot,7,-2,74,25.2,12.4,Millsap 7' Turnaround Jump Shot (2 PTS) (Chandler 1 AST)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,13,9,00:07:14,00:04:46,00:00:19,48,DEN,foul,,,,,,,,DeAndre Jordan,,Paul Millsap,,,p.foul,,,p.foul,,,,,,Millsap P.FOUL (P1.T1) (M.Davis)
"=""0021701191""",2017-2018 Regular Season,2018-04-07,Wilson Chandler,Paul Millsap,Nikola Jokic,Will Barton,Jamal Murray,Wesley Johnson,Tobias Harris,DeAndre Jordan,Tyrone Wallace,Austin Rivers,1,13,9,00:07:00,00:05:00,00:00:14,50,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Floating Jump Shot,6,1,58,25.1,83.2,MISS Rivers 6' Floating Jump Shot
