game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Dwight Howard,Myles Turner,,,,,,,Myles Turner,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Turner vs. Howard: Tip to Walker
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,0,00:11:44,00:00:16,00:00:16,7,CHA,turnover,,,,,,,,,,Nicolas Batum,,,traveling ,,,traveling ,,,,,,Batum Traveling Turnover (P1.T1)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,3,00:11:20,00:00:40,00:00:24,8,IND,shot,,,,,,,,,,Darren Collison,3,,,made,,Step Back Jump Shot,25,166,193,41.6,69.7,Collison 25' 3PT Step Back Jump Shot (3 PTS)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,3,00:11:06,00:00:54,00:00:14,9,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Jump Shot,24,235,16,1.5,6.6,MISS Walker 24' 3PT Jump Shot
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,3,00:11:03,00:00:57,00:00:03,10,IND,rebound,,,,,,,,,,Lance Stephenson,,,,,,rebound defensive,,,,,,Stephenson REBOUND (Off:0 Def:1)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,0,6,00:10:59,00:01:01,00:00:04,11,IND,shot,Lance Stephenson,,,,,,,,,Darren Collison,3,,,made,,Jump Shot,25,217,122,46.7,76.8,Collison 25' 3PT Jump Shot (6 PTS) (Stephenson 1 AST)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,3,6,00:10:46,00:01:14,00:00:13,13,CHA,shot,Kemba Walker,,,,,,,,,Nicolas Batum,3,,,made,,Pullup Jump Shot,26,7,264,24.3,31.4,Batum 26' 3PT Pullup Jump Shot (3 PTS) (Walker 1 AST)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,3,8,00:10:28,00:01:32,00:00:18,15,IND,shot,,,,,,,,,,Lance Stephenson,2,,,made,,Pullup Jump Shot,14,-70,125,18.0,76.5,Stephenson 14' Pullup Jump Shot (2 PTS)
"=""0021701213""",2017-2018 Regular Season,2018-04-10,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Glenn Robinson III,Trevor Booker,Myles Turner,Lance Stephenson,Darren Collison,1,5,8,00:10:09,00:01:51,00:00:19,16,CHA,shot,Kemba Walker,,,,,,,,,Dwight Howard,2,,,made,,Jump Bank Shot,19,183,56,6.7,10.6,Howard 19' Jump Bank Shot (2 PTS) (Walker 2 AST)
