game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Zaza Pachulia,Rudy Gobert,,,,,,,Rudy Gobert,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Gobert vs. Pachulia: Tip to Rubio
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:40,00:00:20,00:00:20,7,UTA,shot,Derrick Favors,,,,,,,,,Rudy Gobert,2,,,made,,Reverse Layup,2,15,8,26.5,88.2,Gobert 2' Reverse Layup (2 PTS) (Favors 1 AST)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:28,00:00:32,00:00:12,9,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Pullup Jump Shot,15,-97,114,34.7,16.4,MISS Durant 15' Pullup Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:25,00:00:35,00:00:03,10,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:08,00:00:52,00:00:17,82,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Floating Jump Shot,14,108,83,35.8,80.7,MISS Favors 14' Floating Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:08,00:00:52,00:00:00,83,GSW,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:1)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:50,00:01:10,00:00:18,14,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Floating Jump Shot,13,2,130,24.8,18.0,Durant 13' Floating Jump Shot (2 PTS)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,4,00:10:31,00:01:29,00:00:19,15,UTA,shot,Ricky Rubio,,,,,,,,,Rudy Gobert,2,,,made,,unknown,3,-7,27,24.3,86.3,Gobert 3' Cutting Dunk Shot (4 PTS) (Rubio 1 AST)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,4,00:10:23,00:01:37,00:00:08,17,GSW,shot,Draymond Green,,,,,,,,,Zaza Pachulia,2,,,made,,Layup,1,12,-5,23.8,4.5,Pachulia 1' Layup (2 PTS) (Green 1 AST)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,6,00:10:03,00:01:57,00:00:20,19,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,10,0,96,25.0,79.4,Mitchell 10' Driving Floating Jump Shot (2 PTS)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,6,00:09:54,00:02:06,00:00:09,20,UTA,violation,,,,,,,,,,Rudy Gobert,,,,,,violation:kicked ball,,,,,,Gobert Violation:Kicked Ball (J.Goble)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:09:45,00:02:15,00:00:09,21,GSW,shot,Klay Thompson,,,,,,,,,Draymond Green,2,,,made,,unknown,1,-10,4,26.0,5.4,Green 1' Cutting Layup Shot (2 PTS) (Thompson 1 AST)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:09:35,00:02:25,00:00:10,23,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Pullup Jump Shot,18,-131,130,11.9,76.0,MISS Rubio 18' Pullup Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:09:32,00:02:28,00:00:03,24,GSW,rebound,,,,,,,,,,Quinn Cook,,,,,,rebound defensive,,,,,,Cook REBOUND (Off:0 Def:1)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:09:28,00:02:32,00:00:04,25,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,23,-195,117,44.5,16.7,MISS Thompson 23' Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,6,00:09:27,00:02:33,00:00:01,26,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:09:15,00:02:45,00:00:12,27,UTA,shot,,,,,,,,,,Joe Ingles,2,,,made,,Floating Jump Shot,10,-101,5,14.9,88.5,Ingles 10' Floating Jump Shot (2 PTS)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:09:02,00:02:58,00:00:13,28,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,19,-80,176,33.0,22.6,MISS Thompson 19' Pullup Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:59,00:03:01,00:00:03,29,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:47,00:03:13,00:00:12,30,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,23,-230,16,2.0,87.4,MISS Favors  3PT Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:44,00:03:16,00:00:03,31,GSW,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:2)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:30,00:03:30,00:00:14,32,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Floating Jump Shot,12,51,106,19.9,15.6,MISS Green 12' Floating Jump Shot
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:29,00:03:31,00:00:01,33,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Warriors Rebound
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:29,00:03:31,00:00:00,34,UTA,foul,,,,,,,,Draymond Green,,Derrick Favors,,,l.b.foul,,,l.b.foul,,,,,,Favors L.B.FOUL (P1.T1) (J.Goble)
"=""0021701217""",2017-2018 Regular Season,2018-04-10,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Quinn Cook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,8,00:08:27,00:03:33,00:00:02,36,GSW,turnover,,,,,,,,,,Kevin Durant,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Durant Bad Pass Turnover (P1.T1), Rubio STEAL (1 STL)"
