game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Hassan Whiteside,Amir Johnson,,,,,,,Amir Johnson,,Robert Covington,,,,jump ball,,,,,,Jump Ball Johnson vs. Whiteside: Tip to Covington
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:51,00:00:09,00:00:09,7,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,unknown,4,32,15,28.2,87.5,MISS Simmons 4' Turnaround Fadeaway Bank Jump Shot
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:49,00:00:11,00:00:02,8,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,0,00:11:30,00:00:30,00:00:19,9,MIA,shot,Josh Richardson,,,,,,,,,James Johnson,2,,,made,,unknown,2,-11,15,26.1,6.5,Johnson 2' Driving Layup (2 PTS) (Richardson 1 AST)
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,0,00:11:15,00:00:45,00:00:15,11,PHI,turnover,,,,,,,,,,JJ Redick,,,lost ball ,,Tyler Johnson,lost ball ,,,,,,"Johnson STEAL (1 STL), Redick Lost Ball Turnover (P1.T1)"
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,0,00:11:10,00:00:50,00:00:05,13,MIA,miss,,,,Robert Covington,,,,,,Goran Dragic,0,,,missed,,unknown,3,-19,18,26.9,6.8,"MISS Dragic 3' Driving Layup, Covington BLOCK (1 BLK)"
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,0,00:11:09,00:00:51,00:00:01,15,MIA,rebound,,,,,,,,,,Goran Dragic,,,,,,rebound offensive,,,,,,Dragic REBOUND (Off:1 Def:0)
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,0,00:11:09,00:00:51,00:00:00,16,PHI,foul,,,,,,,,Tyler Johnson,,Dario Saric,,,s.foul,,,s.foul,,,,,,Saric S.FOUL (P1.T1) (M.Davis)
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,3,0,00:11:09,00:00:51,00:00:00,18,MIA,free throw,,,,,,,1,,2,Tyler Johnson,1,,,made,,Free Throw 1 of 2,,,,,,Johnson Free Throw 1 of 2 (1 PTS)
"=""0041700121""",2018 Playoff,2018-04-14,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Robert Covington,Dario Saric,Amir Johnson,Ben Simmons,Marco Belinelli,1,3,0,00:11:09,00:00:51,00:00:00,19,PHI,sub,,,,,Marco Belinelli,JJ Redick,,,,JJ Redick,,,,,,sub,,,,,,SUB: Belinelli FOR Redick
