game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,LaMarcus Aldridge,JaVale McGee,,,,,,,JaVale McGee,,Klay Thompson,,,,jump ball,,,,,,Jump Ball McGee vs. Aldridge: Tip to Thompson
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:43,00:00:17,00:00:17,7,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,19,-4,194,24.6,69.6,MISS Green 19' Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:40,00:00:20,00:00:03,8,SAS,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:16,00:00:44,00:00:24,9,SAS,miss,,,,Draymond Green,,,,,,Patty Mills,0,,,missed,,unknown,9,-89,-1,33.9,4.9,"MISS Mills 9' Driving Floating Jump Shot, Green BLOCK (1 BLK)"
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:12,00:00:48,00:00:04,11,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:08,00:00:52,00:00:04,12,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,27,-127,237,12.3,65.3,MISS Durant 27' 3PT Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:04,00:00:56,00:00:04,13,SAS,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:2)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,0,00:11:04,00:00:56,00:00:00,14,SAS,turnover,,,,,,,,,,Dejounte Murray,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Murray Out of Bounds Lost Ball Turnover (P1.T1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:10:50,00:01:10,00:00:14,15,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Pullup Jump Shot,20,66,194,31.6,69.6,Durant 20' Pullup Jump Shot (2 PTS)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:10:22,00:01:38,00:00:28,16,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,26,-24,263,27.4,31.3,MISS Green 26' 3PT Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:10:21,00:01:39,00:00:01,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Spurs Rebound
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:10:21,00:01:39,00:00:00,18,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,Spurs Turnover: Shot Clock (T#2)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:10:01,00:01:59,00:00:20,19,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,24,235,22,48.5,86.8,MISS Green 24' 3PT Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,0,2,00:09:56,00:02:04,00:00:05,20,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,2,2,00:09:51,00:02:09,00:00:05,21,SAS,shot,Dejounte Murray,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,21,-22,206,27.2,25.6,Aldridge 21' Jump Shot (2 PTS) (Murray 1 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,2,4,00:09:35,00:02:25,00:00:16,23,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Turnaround Jump Shot,7,9,73,25.9,81.7,Durant 7' Turnaround Jump Shot (4 PTS)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,4,00:09:20,00:02:40,00:00:15,24,SAS,shot,Patty Mills,,,,,,,,,LaMarcus Aldridge,2,,,made,,Pullup Jump Shot,22,-110,188,36.0,23.8,Aldridge 22' Pullup Jump Shot (4 PTS) (Mills 1 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,4,00:09:06,00:02:54,00:00:14,26,SAS,foul,,,,,,,,Klay Thompson,,Dejounte Murray,,,p.foul,,,p.foul,,,,,,Murray P.FOUL (P1.T1) (J.Capers)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,6,00:08:58,00:03:02,00:00:08,28,GSW,shot,Kevin Durant,,,,,,,,,JaVale McGee,2,,,made,,Driving Finger Roll Layup,6,11,61,26.1,82.9,McGee 6' Driving Finger Roll Layup (2 PTS) (Durant 1 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,6,00:08:38,00:03:22,00:00:20,30,SAS,miss,,,,,,,,,,Patty Mills,0,,,missed,,Pullup Jump Shot,27,-13,272,26.3,32.2,MISS Mills 27' 3PT Pullup Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,6,00:08:33,00:03:27,00:00:05,31,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:08:31,00:03:29,00:00:02,32,GSW,shot,Kevin Durant,,,,,,,,,JaVale McGee,2,,,made,,Alley Oop Dunk,1,3,6,25.3,88.4,McGee 1' Alley Oop Dunk (4 PTS) (Durant 2 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:08:31,00:03:29,00:00:00,34,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Spurs Timeout: Regular (Reg.1 Short 0)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:08:11,00:03:49,00:00:20,35,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,Pullup Jump Shot,11,0,111,25.0,16.1,MISS Murray 11' Pullup Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:08:05,00:03:55,00:00:06,36,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:07:56,00:04:04,00:00:09,37,GSW,miss,,,,LaMarcus Aldridge,,,,,,Draymond Green,0,,,missed,,Reverse Layup,2,-9,17,24.1,87.3,"Aldridge BLOCK (1 BLK), MISS Green 2' Reverse Layup"
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,4,8,00:07:52,00:04:08,00:00:04,38,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,8,00:07:48,00:04:12,00:00:04,39,SAS,shot,LaMarcus Aldridge,,,,,,,,,Patty Mills,2,,,made,,Jump Shot,18,-9,175,25.9,22.5,Mills 18' Jump Shot (2 PTS) (Aldridge 1 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,10,00:07:27,00:04:33,00:00:21,41,GSW,shot,Kevin Durant,,,,,,,,,JaVale McGee,2,,,made,,Driving Finger Roll Layup,3,-2,29,24.8,86.1,McGee 3' Driving Finger Roll Layup (6 PTS) (Durant 3 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,10,00:07:13,00:04:47,00:00:14,43,SAS,turnover,,,,,,,,,,Dejounte Murray,,,bad pass ,,JaVale McGee,bad pass ,,,,,,"Murray Bad Pass Turnover (P2.T3), McGee STEAL (1 STL)"
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,10,00:07:06,00:04:54,00:00:07,45,GSW,turnover,,,,,,,,,,Draymond Green,,,bad pass ,,LaMarcus Aldridge,bad pass ,,,,,,"Aldridge STEAL (1 STL), Green Bad Pass Turnover (P1.T1)"
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,10,00:06:57,00:05:03,00:00:09,47,SAS,miss,,,,,,,,,,Kyle Anderson,0,,,missed,,Layup,3,18,23,23.2,7.3,MISS Anderson 3' Layup
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,10,00:06:51,00:05:09,00:00:06,48,GSW,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,12,00:06:45,00:05:15,00:00:06,49,GSW,shot,Andre Iguodala,,,,,,,,,JaVale McGee,2,,,made,,unknown,2,18,14,26.8,87.6,McGee 2' Cutting Layup Shot (8 PTS) (Iguodala 1 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,12,00:06:28,00:05:32,00:00:17,51,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,19,95,169,15.5,21.9,MISS Aldridge 19' Jump Shot
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,12,00:06:23,00:05:37,00:00:05,52,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:2)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,6,14,00:06:16,00:05:44,00:00:07,53,GSW,shot,Andre Iguodala,,,,,,,,,Draymond Green,2,,,made,,Layup,3,29,17,27.9,87.3,Green 3' Layup (2 PTS) (Iguodala 2 AST)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:54,00:06:06,00:00:22,55,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,unknown,8,-9,79,25.9,12.9,Murray 8' Driving Floating Jump Shot (2 PTS)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:10,56,GSW,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Running Finger Roll Layup,6,11,55,26.1,83.5,MISS McGee 6' Running Finger Roll Layup
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,57,GSW,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound offensive,,,,,,McGee REBOUND (Off:1 Def:1)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,58,SAS,foul,,,,,,,,JaVale McGee,,LaMarcus Aldridge,,,s.foul,,,s.foul,,,,,,Aldridge S.FOUL (P1.T2) (R.Garretson)
"=""0041700151""",2018 Playoff,2018-04-14,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,60,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,WARRIORS Timeout: Regular (Full 1 Short 0)
"=""0041700151""",2018 Playoff,2018-04-14,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Manu Ginobili,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,62,SAS,sub,,,,,Manu Ginobili,Danny Green,,,,Danny Green,,,,,,sub,,,,,,SUB: Ginobili FOR Green
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Dejounte Murray,Manu Ginobili,Bryn Forbes,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,63,SAS,sub,,,,,Bryn Forbes,Kyle Anderson,,,,Kyle Anderson,,,,,,sub,,,,,,SUB: Forbes FOR Anderson
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,64,SAS,sub,,,,,Rudy Gay,Dejounte Murray,,,,Dejounte Murray,,,,,,sub,,,,,,SUB: Gay FOR Murray
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,68,GSW,free throw,,,,,,,1,,2,JaVale McGee,0,,,missed,,Free Throw 1 of 2,,,,,,MISS McGee Free Throw 1 of 2
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,14,00:05:44,00:06:16,00:00:00,69,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WARRIORS Rebound
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,15,00:05:44,00:06:16,00:00:00,70,GSW,free throw,,,,,,,2,,2,JaVale McGee,1,,,made,,Free Throw 2 of 2,,,,,,McGee Free Throw 2 of 2 (9 PTS)
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,15,00:05:24,00:06:36,00:00:20,71,SAS,miss,,,,JaVale McGee,,,,,,LaMarcus Aldridge,0,,,missed,,Hook Shot,6,5,59,24.5,10.9,"MISS Aldridge 6' Hook Shot, McGee BLOCK (1 BLK)"
"=""0041700151""",2018 Playoff,2018-04-14,LaMarcus Aldridge,Patty Mills,Manu Ginobili,Bryn Forbes,Rudy Gay,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,1,8,15,00:05:22,00:06:38,00:00:02,72,GSW,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:1 Def:2)
