game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Myles Turner,Kevin Love,,,,,,,Kevin Love,,LeBron James,,,,jump ball,,,,,,Jump Ball Love vs. Turner: Tip to James
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,2,00:11:44,00:00:16,00:00:16,7,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,Pullup Jump Shot,12,82,85,33.2,80.5,James 12' Pullup Jump Shot (2 PTS)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,2,00:11:33,00:00:27,00:00:11,8,IND,turnover,,,,,,,,,,Victor Oladipo,,,backcourt,,,backcourt,,,,,,Oladipo Backcourt Turnover (P1.T1)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,4,00:11:17,00:00:43,00:00:16,9,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,Driving Reverse Layup,1,-11,0,23.9,89.0,James 1' Driving Reverse Layup (4 PTS)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,4,00:11:14,00:00:46,00:00:03,10,IND,foul,,,,,,,,Kyle Korver,,Victor Oladipo,,,offensive charge foul,,,offensive charge foul,,,,,,Oladipo Offensive Charge Foul (P1.T1) (E.Lewis)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,4,00:11:14,00:00:46,00:00:00,12,IND,turnover,,,,,,,,,,Victor Oladipo,,,offensive foul turnover,,,offensive foul turnover,,,,,,Oladipo Offensive Foul Turnover (P2.T2)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,4,00:10:58,00:01:02,00:00:16,13,IND,foul,,,,,,,,LeBron James,,Victor Oladipo,,,p.foul,,,p.foul,,,,,,Oladipo P.FOUL (P2.T2) (E.Malloy)
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Darren Collison,Lance Stephenson,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,4,00:10:58,00:01:02,00:00:00,15,IND,sub,,,,,Lance Stephenson,Victor Oladipo,,,,Victor Oladipo,,,,,,sub,,,,,,SUB: Stephenson FOR Oladipo
"=""0041700132""",2018 Playoff,2018-04-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Darren Collison,Lance Stephenson,JR Smith,LeBron James,Kevin Love,Kyle Korver,George Hill,1,0,6,00:10:51,00:01:09,00:00:07,17,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,Turnaround Fadeaway ,17,-154,75,9.6,81.5,James 17' Turnaround Fadeaway (6 PTS)
