game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Hassan Whiteside,,,,,,,Hassan Whiteside,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Whiteside vs. Embiid: Tip to Simmons
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:45,00:00:15,00:00:15,7,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,26,-172,200,42.2,25.0,MISS Redick 26' 3PT Jump Shot
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:44,00:00:16,00:00:01,8,MIA,rebound,,,,,,,,,,Goran Dragic,,,,,,rebound defensive,,,,,,Dragic REBOUND (Off:0 Def:1)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:34,00:00:26,00:00:10,9,MIA,shot,James Johnson,,,,,,,,,Tyler Johnson,3,,,made,,Jump Shot,23,-226,6,2.4,88.4,Johnson  3PT Jump Shot (3 PTS) (Johnson 1 AST)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:18,00:00:42,00:00:16,11,PHI,miss,,,,Hassan Whiteside,,,,,,Ben Simmons,0,,,missed,,unknown,1,5,5,24.5,5.5,"MISS Simmons 1' Driving Layup, Whiteside BLOCK (1 BLK)"
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:15,00:00:45,00:00:03,13,PHI,rebound,,,,,,,,,,Dario Saric,,,,,,rebound offensive,,,,,,Saric REBOUND (Off:1 Def:0)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:14,00:00:46,00:00:01,14,PHI,miss,,,,,,,,,,Dario Saric,0,,,missed,,Pullup Jump Shot,17,65,159,18.5,20.9,MISS Saric 17' Pullup Jump Shot
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:12,00:00:48,00:00:02,15,MIA,rebound,,,,,,,,,,Goran Dragic,,,,,,rebound defensive,,,,,,Dragic REBOUND (Off:0 Def:2)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:11,00:00:49,00:00:01,16,MIA,turnover,,,,,,,,,,Josh Richardson,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Richardson Step Out of Bounds Turnover (P1.T1)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,2,3,00:10:52,00:01:08,00:00:19,17,PHI,shot,Robert Covington,,,,,,,,,JJ Redick,2,,,made,,unknown,4,-25,28,27.5,7.8,Redick 4' Cutting Layup Shot (2 PTS) (Covington 1 AST)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,2,6,00:10:26,00:01:34,00:00:26,19,MIA,shot,James Johnson,,,,,,,,,Tyler Johnson,3,,,made,,Jump Shot,23,232,37,48.2,85.3,Johnson  3PT Jump Shot (6 PTS) (Johnson 2 AST)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,4,6,00:10:10,00:01:50,00:00:16,21,PHI,shot,Joel Embiid,,,,,,,,,Dario Saric,2,,,made,,unknown,2,-12,12,26.2,6.2,Saric 2' Cutting Layup Shot (2 PTS) (Embiid 1 AST)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,4,6,00:09:57,00:02:03,00:00:13,23,MIA,turnover,,,,,,,,,,Josh Richardson,,,lost ball ,,Robert Covington,lost ball ,,,,,,"Covington STEAL (1 STL), Richardson Lost Ball Turnover (P2.T2)"
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,4,6,00:09:54,00:02:06,00:00:03,25,MIA,foul,,,,,,,,Joel Embiid,,James Johnson,,,s.foul,,,s.foul,,,,,,Johnson S.FOUL (P1.T1) (T.Brown)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,5,6,00:09:54,00:02:06,00:00:00,27,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,Free Throw 1 of 2,,,,,,Embiid Free Throw 1 of 2 (1 PTS)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:54,00:02:06,00:00:00,28,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,Free Throw 2 of 2,,,,,,Embiid Free Throw 2 of 2 (2 PTS)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:38,00:02:22,00:00:16,29,MIA,miss,,,,Joel Embiid,,,,,,James Johnson,0,,,missed,,Jump Shot,5,23,47,27.3,84.3,"Embiid BLOCK (1 BLK), MISS Johnson 5' Jump Shot"
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:37,00:02:23,00:00:01,31,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:31,00:02:29,00:00:06,32,PHI,miss,,,,,,,,,,Dario Saric,0,,,missed,,unknown,1,3,5,24.7,5.5,MISS Saric 1' Cutting Layup Shot
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:28,00:02:32,00:00:03,33,MIA,rebound,,,,,,,,,,James Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:25,00:02:35,00:00:03,34,MIA,turnover,,,,,,,,,,Josh Richardson,,,traveling ,,,traveling ,,,,,,Richardson Traveling Turnover (P3.T3)
"=""0041700123""",2018 Playoff,2018-04-19,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,6,6,00:09:08,00:02:52,00:00:17,36,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,26,-128,222,37.8,27.2,MISS Redick 26' 3PT Jump Shot
