game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,JaVale McGee,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Danny Green,,,,jump ball,,,,,,Jump Ball Aldridge vs. McGee: Tip to Green
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,2,00:11:42,00:00:18,00:00:18,7,SAS,shot,LaMarcus Aldridge,,,,,,,,,Rudy Gay,2,,,made,,unknown,2,-1,18,24.9,87.2,Gay 2' Driving Dunk (2 PTS) (Aldridge 1 AST)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,2,00:11:21,00:00:39,00:00:21,9,GSW,turnover,,,,,,,,,,Kevin Durant,,,lost ball ,,Patty Mills,lost ball ,,,,,,"Durant Lost Ball Turnover (P1.T1), Mills STEAL (1 STL)"
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:11:16,00:00:44,00:00:05,11,SAS,shot,Dejounte Murray,,,,,,,,,Danny Green,2,,,made,,unknown,0,-1,-1,24.9,89.1,Green  Cutting Layup Shot (2 PTS) (Murray 1 AST)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:58,00:01:02,00:00:18,13,GSW,miss,,,,,,,,,,Andre Iguodala,0,,,missed,,Driving Reverse Layup,1,-3,-12,25.3,3.8,MISS Iguodala 1' Driving Reverse Layup
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:56,00:01:04,00:00:02,14,SAS,rebound,,,,,,,,,,Danny Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:46,00:01:14,00:00:10,15,SAS,miss,,,,Draymond Green,,,,,,Danny Green,0,,,missed,,Jump Shot,26,-186,178,6.4,71.2,"Green BLOCK (1 BLK), MISS Green 26' 3PT Jump Shot"
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:40,00:01:20,00:00:06,17,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:33,00:01:27,00:00:07,18,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Pullup Jump Shot,13,-102,82,35.2,13.2,MISS Durant 13' Pullup Jump Shot
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:31,00:01:29,00:00:02,19,GSW,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound offensive,,,,,,McGee REBOUND (Off:1 Def:0)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:31,00:01:29,00:00:00,20,SAS,foul,,,,,,,,JaVale McGee,,Dejounte Murray,,,p.foul,,,p.foul,,,,,,Murray P.FOUL (P1.T1) (Z.Zarba)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:25,00:01:35,00:00:06,22,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,15,114,95,13.6,14.5,MISS Thompson 15' Pullup Jump Shot
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:22,00:01:38,00:00:03,23,SAS,rebound,,,,,,,,,,Patty Mills,,,,,,rebound defensive,,,,,,Mills REBOUND (Off:0 Def:1)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:08,00:01:52,00:00:14,24,SAS,miss,,,,,,,,,,Patty Mills,0,,,missed,,Driving Reverse Layup,2,15,10,26.5,88.0,MISS Mills 2' Driving Reverse Layup
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,4,00:10:00,00:02:00,00:00:08,25,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:1 Def:0)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,6,00:10:00,00:02:00,00:00:00,26,SAS,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,unknown,1,0,-6,25.0,89.6,Aldridge 1' Tip Layup Shot (2 PTS)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,6,00:09:57,00:02:03,00:00:03,27,GSW,shot,Kevin Durant,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,15,144,47,10.6,9.7,Thompson 15' Jump Shot (2 PTS) (Durant 1 AST)
"=""0041700153""",2018 Playoff,2018-04-19,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Andre Iguodala,Danny Green,Rudy Gay,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,6,00:09:32,00:02:28,00:00:25,29,SAS,miss,,,,,,,,,,Patty Mills,0,,,missed,,Jump Shot,30,209,221,45.9,66.9,MISS Mills 30' 3PT Jump Shot
