game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Clint Capela,,,,,,,Clint Capela,,Joe Ingles,,,,jump ball,,,,,,Jump Ball Capela vs. Gobert: Tip to Ingles
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,0,00:11:39,00:00:21,00:00:21,7,UTA,shot,Donovan Mitchell,,,,,,,,,Derrick Favors,2,,,made,,unknown,1,8,1,24.2,5.1,Favors 1' Cutting Dunk Shot (2 PTS) (Mitchell 1 AST)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,2,00:11:24,00:00:36,00:00:15,9,HOU,shot,James Harden,,,,,,,,,Clint Capela,2,,,made,,unknown,1,-8,8,24.2,88.2,Capela 1' Cutting Dunk Shot (2 PTS) (Harden 1 AST)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,2,00:11:13,00:00:47,00:00:11,11,UTA,shot,Donovan Mitchell,,,,,,,,,Rudy Gobert,2,,,made,,Alley Oop Dunk,0,2,1,24.8,5.1,Gobert  Alley Oop Dunk (2 PTS) (Mitchell 2 AST)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,4,00:10:59,00:01:01,00:00:14,13,HOU,shot,,,,,,,,,,Chris Paul,2,,,made,,Pullup Jump Shot,13,-4,126,24.6,76.4,Paul 13' Pullup Jump Shot (2 PTS)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,4,00:10:49,00:01:11,00:00:10,14,UTA,foul,,,,,,,,Trevor Ariza,,Joe Ingles,,,off.foul,,,off.foul,,,,,,Ingles OFF.Foul (P1) (S.Foster)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,4,00:10:49,00:01:11,00:00:00,16,UTA,turnover,,,,,,,,,,Joe Ingles,,,offensive foul turnover,,,offensive foul turnover,,,,,,Ingles Offensive Foul Turnover (P1.T1)
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,4,00:10:31,00:01:29,00:00:18,17,HOU,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,26,182,179,43.2,71.1,MISS Ariza 26' 3PT Jump Shot
"=""0041700222""",2018 Playoff,2018-05-02,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,4,4,00:10:30,00:01:30,00:00:01,18,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
