game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,JaVale McGee,Anthony Davis,,,,,,,Anthony Davis,,Draymond Green,,,,jump ball,,,,,,Jump Ball Davis vs. McGee: Tip to Green
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:45,00:00:15,00:00:15,7,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,18,-131,119,38.1,16.9,MISS Green 18' Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:42,00:00:18,00:00:03,8,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:41,00:00:19,00:00:01,9,NOP,turnover,,,,,,,,,,Anthony Davis,,,lost ball ,,Stephen Curry,lost ball ,,,,,,"Curry STEAL (1 STL), Davis Lost Ball Turnover (P1.T1)"
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:38,00:00:22,00:00:03,11,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,25,6,250,24.4,30.0,MISS Thompson 25' 3PT Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:38,00:00:22,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Warriors Rebound
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:24,00:00:36,00:00:14,14,GSW,turnover,,,,,,,,,,Draymond Green,,,lost ball ,,Anthony Davis,lost ball ,,,,,,"Green Lost Ball Turnover (P1.T1), Davis STEAL (1 STL)"
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,2,00:11:13,00:00:47,00:00:11,16,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Step Back Jump Shot,20,-58,194,19.2,69.6,Holiday 20' Step Back Jump Shot (2 PTS)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,2,00:11:01,00:00:59,00:00:12,18,GSW,turnover,,,,,,,,,,Klay Thompson,,,,,,unknown,,,,,,Thompson Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:49,00:01:11,00:00:12,19,NOP,shot,Rajon Rondo,,,,,,,,,E'Twaun Moore,2,,,made,,Floating Jump Shot,7,-1,65,24.9,82.5,Moore 7' Floating Jump Shot (2 PTS) (Rondo 1 AST)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:41,00:01:19,00:00:08,21,NOP,foul,,,,,,,,Stephen Curry,,Nikola Mirotic,,,away.from.play.foul,,,away.from.play.foul,,,,,,Mirotic AWAY.FROM.PLAY.FOUL (P1.T1) (S.Foster)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:34,00:01:26,00:00:07,23,GSW,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Alley Oop Layup,3,25,11,22.5,6.1,MISS McGee 3' Alley Oop Layup
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:32,00:01:28,00:00:02,24,NOP,rebound,,,,,,,,,,Nikola Mirotic,,,,,,rebound defensive,,,,,,Mirotic REBOUND (Off:0 Def:1)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:25,00:01:35,00:00:07,25,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Jump Shot,21,-142,149,10.8,74.1,MISS Davis 21' Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:21,00:01:39,00:00:04,26,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:15,00:01:45,00:00:06,27,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Pullup Jump Shot,17,-117,130,36.7,18.0,MISS Durant 17' Pullup Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:11,00:01:49,00:00:04,28,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:2)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,4,00:10:03,00:01:57,00:00:08,29,NOP,turnover,,,,,,,,,,Rajon Rondo,,,,,,unknown,,,,,,Rondo Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:46,00:02:14,00:00:17,30,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Pullup Jump Shot,12,-97,75,34.7,12.5,Durant 12' Pullup Jump Shot (2 PTS)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:36,00:02:24,00:00:10,31,NOP,miss,,,,,,,,,,Nikola Mirotic,0,,,missed,,Jump Bank Shot,27,-142,231,10.8,65.9,MISS Mirotic 27' 3PT Jump Bank Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:33,00:02:27,00:00:03,32,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:27,00:02:33,00:00:06,33,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,25,-117,226,36.7,27.6,MISS Thompson 25' 3PT Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:23,00:02:37,00:00:04,34,NOP,rebound,,,,,,,,,,Nikola Mirotic,,,,,,rebound defensive,,,,,,Mirotic REBOUND (Off:0 Def:2)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:14,00:02:46,00:00:09,35,NOP,miss,,,,,,,,,,E'Twaun Moore,0,,,missed,,Turnaround Jump Shot,10,58,79,30.8,81.1,MISS Moore 10' Turnaround Jump Shot
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:13,00:02:47,00:00:01,36,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Warriors Rebound
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:13,00:02:47,00:00:00,37,NOP,foul,,,,,,,,JaVale McGee,,Anthony Davis,,,l.b.foul,,,l.b.foul,,,,,,Davis L.B.FOUL (P1.T2) (S.Foster)
"=""0041700233""",2018 Playoff,2018-05-04,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,1,2,4,00:09:06,00:02:54,00:00:07,39,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Pullup Jump Shot,22,30,221,22.0,27.1,MISS Curry 22' Pullup Jump Shot
