game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Clint Capela,Rudy Gobert,,,,,,,Rudy Gobert,,James Harden,,,,jump ball,,,,,,Jump Ball Gobert vs. Capela: Tip to Harden
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:41,00:00:19,00:00:19,8,HOU,miss,,,,Rudy Gobert,,,,,,James Harden,0,,,missed,,unknown,4,-31,21,28.1,7.1,"MISS Harden 4' Driving Layup, Gobert BLOCK (1 BLK)"
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:41,00:00:19,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Rockets Rebound
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:37,00:00:23,00:00:04,12,HOU,miss,,,,Rudy Gobert,,,,,,Clint Capela,0,,,missed,,Jump Shot,6,-41,37,29.1,8.7,"MISS Capela 6' Jump Shot, Gobert BLOCK (2 BLK)"
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:34,00:00:26,00:00:03,14,HOU,rebound,,,,,,,,,,Chris Paul,,,,,,rebound offensive,,,,,,Paul REBOUND (Off:1 Def:0)
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:33,00:00:27,00:00:01,15,HOU,miss,,,,,,,,,,Chris Paul,0,,,missed,,Jump Shot,14,5,137,24.5,18.7,MISS Paul 14' Jump Shot
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:31,00:00:29,00:00:02,16,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,00:11:22,00:00:38,00:00:09,17,UTA,turnover,,,,,,,,,,Rudy Gobert,,,lost ball ,,Clint Capela,lost ball ,,,,,,"Capela STEAL (1 STL), Gobert Lost Ball Turnover (P1.T1)"
"=""0041700224""",2018 Playoff,2018-05-06,Trevor Ariza,PJ Tucker,Clint Capela,James Harden,Chris Paul,Joe Ingles,Jae Crowder,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,0,00:11:00,00:01:00,00:00:22,19,HOU,shot,,,,,,,,,,Chris Paul,2,,,made,,Pullup Jump Shot,17,-5,168,25.5,21.8,Paul 17' Pullup Jump Shot (2 PTS)
