game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Kevin Durant,,,,,,,Kevin Durant,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Durant vs. Davis: Tip to Rondo
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,0,00:11:44,00:00:16,00:00:16,7,NOP,miss,,,,,,,,,,E'Twaun Moore,0,,,missed,,Driving Hook Shot,8,3,75,24.7,12.5,MISS Moore 8' Driving Hook Shot
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,0,00:11:43,00:00:17,00:00:01,8,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,2,00:11:36,00:00:24,00:00:07,9,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,2,,,made,,Fadeaway Jumper,20,-142,139,10.8,75.1,Thompson 20' Fadeaway Jumper (2 PTS) (Curry 1 AST)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,2,00:11:21,00:00:39,00:00:15,11,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Jump Shot,10,-3,104,25.3,15.4,MISS Davis 10' Jump Shot
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,2,00:11:17,00:00:43,00:00:04,12,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,2,00:11:08,00:00:52,00:00:09,13,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,24,-232,51,1.8,83.9,MISS Thompson 24' 3PT Pullup Jump Shot
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,0,2,00:11:06,00:00:54,00:00:02,14,NOP,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound defensive,,,,,,Rondo REBOUND (Off:0 Def:1)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,2,2,00:11:01,00:00:59,00:00:05,15,NOP,shot,,,,,,,,,,Rajon Rondo,2,,,made,,Running Jump Shot,16,-46,158,29.6,20.8,Rondo 16' Running Jump Shot (2 PTS)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,2,2,00:10:49,00:01:11,00:00:12,16,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,24,223,80,47.3,81.0,MISS Durant 24' 3PT Jump Shot
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,2,2,00:10:47,00:01:13,00:00:02,17,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:1)
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,2,2,00:10:36,00:01:24,00:00:11,18,GSW,miss,,,,,,,,,,Andre Iguodala,0,,,missed,,Pullup Jump Shot,24,-230,68,2.0,82.2,MISS Iguodala 24' 3PT Pullup Jump Shot
"=""0041700235""",2018 Playoff,2018-05-08,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Jrue Holiday,Rajon Rondo,Andre Iguodala,Kevin Durant,Draymond Green,Klay Thompson,Stephen Curry,1,2,2,00:10:34,00:01:26,00:00:02,19,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
