game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,20,BOS,jump ball,,Al Horford,Tristan Thompson,,,,,,,Tristan Thompson,,Terry Rozier,,,,jump ball,,,,,,Jump Ball Thompson vs. Horford: Tip to Rozier
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:40,00:00:20,00:00:20,4,BOS,miss,,,,,,,,,,Al Horford,0,,,missed,,Layup,3,5,25,24.5,7.5,MISS Horford 3' Layup
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:40,00:00:20,00:00:00,5,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CAVALIERS Rebound
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:23,00:00:37,00:00:17,6,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,32,125,290,37.5,60.0,MISS Love 32' 3PT Jump Shot
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:18,00:00:42,00:00:05,7,BOS,rebound,,,,,,,,,,Terry Rozier,,,,,,rebound defensive,,,,,,Rozier REBOUND (Off:0 Def:1)
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:13,00:00:47,00:00:05,8,BOS,miss,,,,,,,,,,Terry Rozier,0,,,missed,,unknown,1,-6,4,25.6,5.4,MISS Rozier 1' Driving Floating Bank Jump Shot
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:10,00:00:50,00:00:03,9,CLE,rebound,,,,,,,,,,George Hill,,,,,,rebound defensive,,,,,,G. Hill REBOUND (Off:0 Def:1)
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:05,00:00:55,00:00:05,10,CLE,miss,,,,Al Horford,,,,,,Tristan Thompson,0,,,missed,,Layup,2,-21,5,22.9,88.5,"Horford BLOCK (1 BLK), MISS Thompson 2' Layup"
"=""0041700304""",2018 Playoff,2018-05-21,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Terry Rozier,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,1,0,0,00:11:00,00:01:00,00:00:05,12,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:0)
