game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Tristan Thompson,Aron Baynes,,,,,,,Aron Baynes,,Al Horford,,,,jump ball,,,,,,Jump Ball Baynes vs. Thompson: Tip to Horford
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,0,0,00:11:45,00:00:15,00:00:15,7,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,28,-41,274,20.9,61.6,MISS Brown 28' 3PT Jump Shot
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,0,0,00:11:42,00:00:18,00:00:03,8,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,0,00:11:24,00:00:36,00:00:18,9,CLE,shot,LeBron James,,,,,,,,,Kevin Love,2,,,made,,unknown,7,66,31,18.4,8.1,Love 7' Driving Floating Bank Jump Shot (2 PTS) (James 1 AST)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,3,00:11:10,00:00:50,00:00:14,11,BOS,shot,Al Horford,,,,,,,,,Terry Rozier,3,,,made,,Jump Shot,25,198,151,44.8,73.9,Rozier 25' 3PT Jump Shot (3 PTS) (Horford 1 AST)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,3,00:10:48,00:01:12,00:00:22,13,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,unknown,3,-8,31,25.8,8.1,MISS Love 3' Driving Floating Bank Jump Shot
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,3,00:10:47,00:01:13,00:00:01,14,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,3,00:10:32,00:01:28,00:00:15,15,BOS,miss,,,,,,,,,,Terry Rozier,0,,,missed,,Jump Shot,25,144,209,39.4,68.1,MISS Rozier 25' 3PT Jump Shot
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,3,00:10:29,00:01:31,00:00:03,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CELTICS Rebound
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:10:21,00:01:39,00:00:08,17,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,Fadeaway Jumper,14,59,127,30.9,76.3,Tatum 14' Fadeaway Jumper (2 PTS)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:10:07,00:01:53,00:00:14,18,BOS,foul,,,,,,,,Tristan Thompson,,Jayson Tatum,,,p.foul,,,p.foul,,,,,,Tatum P.FOUL (P1.T1) (K.Mauer)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:09:55,00:02:05,00:00:12,20,CLE,miss,,,,Aron Baynes,,,,,,George Hill,0,,,missed,,unknown,1,-9,4,25.9,5.4,"MISS G. Hill 1' Driving Layup, Baynes BLOCK (1 BLK)"
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:09:53,00:02:07,00:00:02,22,BOS,rebound,,,,,,,,,,Jaylen Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:09:49,00:02:11,00:00:04,23,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Running Layup,3,0,28,25.0,86.2,MISS Brown 3' Running Layup
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,5,00:09:48,00:02:12,00:00:01,24,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound offensive,,,,,,Baynes REBOUND (Off:1 Def:0)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,2,7,00:09:48,00:02:12,00:00:00,25,BOS,shot,,,,,,,,,,Aron Baynes,2,,,made,,unknown,1,0,-6,25.0,89.6,Baynes 1' Tip Layup Shot (2 PTS)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,7,00:09:31,00:02:29,00:00:17,26,CLE,shot,Tristan Thompson,,,,,,,,,LeBron James,3,,,made,,Jump Shot,29,149,247,10.1,29.7,James 29' 3PT Jump Shot (3 PTS) (Thompson 1 AST)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,7,00:09:13,00:02:47,00:00:18,28,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,24,-242,23,0.8,86.7,MISS Brown 24' 3PT Jump Shot
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,7,00:09:11,00:02:49,00:00:02,29,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:2)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,7,00:09:05,00:02:55,00:00:06,30,CLE,miss,,,,,,,,,,LeBron James,0,,,missed,,Jump Shot,26,-167,200,41.7,25.0,MISS James 26' 3PT Jump Shot
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,7,00:09:02,00:02:58,00:00:03,31,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:2)
"=""0041700305""",2018 Playoff,2018-05-23,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Terry Rozier,1,5,9,00:08:53,00:03:07,00:00:09,32,BOS,shot,Terry Rozier,,,,,,,,,Al Horford,2,,,made,,Turnaround Bank Hook Shot,5,49,18,29.9,87.2,Horford 5' Turnaround Bank Hook Shot (2 PTS) (Rozier 1 AST)
