game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Tristan Thompson,JaVale McGee,,,,,,,JaVale McGee,,Stephen Curry,,,,jump ball,,,,,,Jump Ball McGee vs. Thompson: Tip to Curry
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,2,00:11:49,00:00:11,00:00:11,7,GSW,shot,Stephen Curry,,,,,,,,,JaVale McGee,2,,,made,,unknown,1,-5,12,24.5,87.8,McGee 1' Cutting Dunk Shot (2 PTS) (Curry 1 AST)
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,2,00:11:34,00:00:26,00:00:15,9,CLE,turnover,,,,,,,,,,George Hill,,,,,,unknown,,,,,,G. Hill Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,2,00:11:34,00:00:26,00:00:00,10,,violation,,,,,,,,,,,,,,,,violation: delay of game violation,,,,,,
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,4,00:11:18,00:00:42,00:00:16,11,GSW,shot,Kevin Durant,,,,,,,,,JaVale McGee,2,,,made,,Dunk,1,5,12,25.5,87.8,McGee 1' Dunk (4 PTS) (Durant 1 AST)
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,4,00:11:04,00:00:56,00:00:14,13,GSW,foul,,,,,,,,JR Smith,,Klay Thompson,,,p.foul,,,p.foul,,,,,,Thompson P.FOUL (P1.T1) (D.Stafford)
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,4,00:10:55,00:01:05,00:00:09,15,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,24,-241,-12,49.1,3.8,MISS Love 24' 3PT Jump Shot
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,4,00:10:54,00:01:06,00:00:01,16,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0041700402""",2018 Playoff,2018-06-03,LeBron James,Kevin Love,Tristan Thompson,JR Smith,George Hill,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Stephen Curry,1,0,4,00:10:50,00:01:10,00:00:04,17,GSW,turnover,,,,,,,,,,Stephen Curry,,,,,,unknown,,,,,,Curry Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
