game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Willie Cauley-Stein,Anthony Davis,,,,,,,Anthony Davis,,Nikola Mirotic,,,,jump ball,,,,,,Jump Ball Davis vs. Cauley-Stein: Tip to Mirotic
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:42,00:00:18,00:00:18,7,SAC,foul,,,,,,,,Anthony Davis,,Willie Cauley-Stein,,,s.foul,,,s.foul,,,,,,Cauley-Stein S.FOUL (P1.T1) (L.Richardson)
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:42,00:00:18,00:00:00,9,NOP,free throw,,,,,,,1,,2,Anthony Davis,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Davis Free Throw 1 of 2
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:42,00:00:18,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PELICANS Rebound
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,1,00:11:42,00:00:18,00:00:00,11,NOP,free throw,,,,,,,2,,2,Anthony Davis,1,,,made,,Free Throw 2 of 2,,,,,,Davis Free Throw 2 of 2 (1 PTS)
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,3,1,00:11:23,00:00:37,00:00:19,12,SAC,shot,Yogi Ferrell,,,,,,,,,Buddy Hield,3,,,made,,Jump Shot,26,152,205,9.8,25.5,Hield 26' 3PT Jump Shot (3 PTS) (Ferrell 1 AST)
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,3,1,00:11:10,00:00:50,00:00:13,14,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Jump Shot,28,-93,259,15.7,63.1,MISS Holiday 28' 3PT Jump Shot
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,3,1,00:11:09,00:00:51,00:00:01,15,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound offensive,,,,,,Payton REBOUND (Off:1 Def:0)
"=""0021800022""",2018-2019 Regular Season,2018-10-19,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,3,4,00:11:01,00:00:59,00:00:08,17,NOP,shot,E'Twaun Moore,,,,,,,,,Nikola Mirotic,3,,,made,,Jump Shot,26,-241,94,0.9,79.6,Mirotic 26' 3PT Jump Shot (3 PTS) (Moore 1 AST)
