game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Karl-Anthony Towns,DeAndre Jordan,,,,,,,DeAndre Jordan,,Luka Doncic,,,,jump ball,,,,,,Jump Ball Jordan vs. Towns: Tip to Doncic
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:46,00:00:14,00:00:14,7,MIN,foul,,,,,,,,Luka Doncic,,Karl-Anthony Towns,,,p.foul,,,p.foul,,,,,,Towns P.FOUL (P1.T1) (T.Ford)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:42,00:00:18,00:00:04,9,DAL,turnover,,,,,,,,,,Luka Doncic,,,traveling ,,,traveling ,,,,,,Doncic Traveling Turnover (P1.T1)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:25,00:00:35,00:00:17,10,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Turnaround Hook Shot,7,-47,48,29.7,9.8,MISS Towns 7' Turnaround Hook Shot
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:22,00:00:38,00:00:03,11,DAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:06,00:00:54,00:00:16,12,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,unknown,8,-82,15,16.8,87.5,MISS Doncic 8' Driving Floating Jump Shot
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:03,00:00:57,00:00:03,13,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound offensive,,,,,,Finney-Smith REBOUND (Off:1 Def:0)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:10:54,00:01:06,00:00:09,14,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Jump Shot,26,211,144,46.1,74.6,MISS Doncic 26' 3PT Jump Shot
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:10:51,00:01:09,00:00:03,15,MIN,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound defensive,,,,,,Wiggins REBOUND (Off:0 Def:1)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,2,0,00:10:44,00:01:16,00:00:07,16,MIN,shot,,,,,,,,,,Andrew Wiggins,2,,,made,,Step Back Jump Shot,15,-141,48,39.1,9.8,Wiggins 15' Step Back Jump Shot (2 PTS)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,2,0,00:10:30,00:01:30,00:00:14,17,DAL,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,Jump Shot,26,120,228,37.0,66.2,MISS Matthews 26' 3PT Jump Shot
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,2,0,00:10:27,00:01:33,00:00:03,18,MIN,rebound,,,,,,,,,,Josh Okogie,,,,,,rebound defensive,,,,,,Okogie REBOUND (Off:0 Def:1)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,4,0,00:10:24,00:01:36,00:00:03,19,MIN,shot,Josh Okogie,,,,,,,,,Taj Gibson,2,,,made,,Running Layup,2,3,19,24.7,6.9,Gibson 2' Running Layup (2 PTS) (Okogie 1 AST)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,4,0,00:10:24,00:01:36,00:00:00,21,DAL,foul,,,,,,,,Taj Gibson,,Wesley Matthews,,,s.foul,,,s.foul,,,,,,Matthews S.FOUL (P1.T1) (H.Workman)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,5,0,00:10:24,00:01:36,00:00:00,23,MIN,free throw,,,,,,,1,,1,Taj Gibson,1,,,made,,Free Throw 1 of 1,,,,,,Gibson Free Throw 1 of 1 (3 PTS)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,5,2,00:10:12,00:01:48,00:00:12,24,DAL,shot,,,,,,,,,,Dennis Smith Jr.,2,,,made,,Pullup Jump Shot,20,-93,172,15.7,71.8,Smith Jr. 20' Pullup Jump Shot (2 PTS)
"=""0021800032""",2018-2019 Regular Season,2018-10-20,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,1,5,2,00:10:00,00:02:00,00:00:12,25,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,Turnaround Jump Shot,5,47,16,20.3,6.6,MISS Teague 5' Turnaround Jump Shot
