game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Clint Capela,JaVale McGee,,,,,,,JaVale McGee,,LeBron James,,,,jump ball,,,,,,Jump Ball McGee vs. Capela: Tip to James
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:51,00:00:09,00:00:09,7,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,26,68,252,31.8,63.8,MISS Caldwell-Pope 26' 3PT Jump Shot
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:46,00:00:14,00:00:05,8,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound offensive,,,,,,Ingram REBOUND (Off:1 Def:0)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:35,00:00:25,00:00:11,9,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,LAKERS Turnover: Shot Clock (T#1)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,3,0,00:11:20,00:00:40,00:00:15,10,HOU,shot,PJ Tucker,,,,,,,,,Chris Paul,3,,,made,,Step Back Jump Shot,26,-5,262,25.5,31.2,Paul 26' 3PT Step Back Jump Shot (3 PTS) (Tucker 1 AST)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,3,0,00:11:01,00:00:59,00:00:19,12,LAL,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Hook Shot,8,1,84,25.1,80.6,MISS McGee 8' Hook Shot
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,3,0,00:10:59,00:01:01,00:00:02,13,HOU,rebound,,,,,,,,,,PJ Tucker,,,,,,rebound defensive,,,,,,Tucker REBOUND (Off:0 Def:1)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,0,00:10:55,00:01:05,00:00:04,14,HOU,shot,Chris Paul,,,,,,,,,Clint Capela,2,,,made,,Running Layup,3,-12,23,26.2,7.3,Capela 3' Running Layup (2 PTS) (Paul 1 AST)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,0,00:10:41,00:01:19,00:00:14,16,HOU,foul,,,,,,,,LeBron James,,James Ennis III,,,p.foul,,,p.foul,,,,,,Ennis III P.FOUL (P1.T1) (M.Boland)
"=""0021800035""",2018-2019 Regular Season,2018-10-20,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,0,00:10:34,00:01:26,00:00:07,18,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Turnaround Jump Shot,17,-103,136,14.7,75.4,MISS Ingram 17' Turnaround Jump Shot
