game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Willie Cauley-Stein,Nikola Jokic,,,,,,,Nikola Jokic,,De'Aaron Fox,,,,jump ball,,,,,,Jump Ball Jokic vs. Cauley-Stein: Tip to Fox
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:42,00:00:18,00:00:18,7,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Jump Shot,24,-108,214,35.8,26.4,MISS Hield 24' 3PT Jump Shot
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:40,00:00:20,00:00:02,8,DEN,rebound,,,,,,,,,,Gary Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:22,00:00:38,00:00:18,12,SAC,foul,,,,,,,,Paul Millsap,,Iman Shumpert,,,s.foul,,,s.foul,,,,,,Shumpert S.FOUL (P1.T1) (B.Adair)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,1,00:11:22,00:00:38,00:00:00,14,DEN,free throw,,,,,,,1,,2,Paul Millsap,1,,,made,,Free Throw 1 of 2,,,,,,Millsap Free Throw 1 of 2 (1 PTS)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:22,00:00:38,00:00:00,15,DEN,free throw,,,,,,,2,,2,Paul Millsap,1,,,made,,Free Throw 2 of 2,,,,,,Millsap Free Throw 2 of 2 (2 PTS)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:11:08,00:00:52,00:00:14,16,SAC,shot,Iman Shumpert,,,,,,,,,Willie Cauley-Stein,2,,,made,,unknown,0,-4,1,25.4,5.1,Cauley-Stein  Cutting Layup Shot (2 PTS) (Shumpert 1 AST)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:54,00:01:06,00:00:14,18,SAC,foul,,,,,,,,Nikola Jokic,,Willie Cauley-Stein,,,p.foul,,,p.foul,,,,,,Cauley-Stein P.FOUL (P1.T2) (R.Garretson)
"=""0021800051""",2018-2019 Regular Season,2018-10-23,Iman Shumpert,Willie Cauley-Stein,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,4,00:10:47,00:01:13,00:00:07,20,DEN,shot,,,,,,,,,,Gary Harris,2,,,made,,Driving Finger Roll Layup,4,38,15,28.8,87.5,Harris 4' Driving Finger Roll Layup (2 PTS)
