game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Tristan Thompson,,,,,,,Tristan Thompson,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Thompson vs. Allen: Tip to Russell
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,0,00:11:44,00:00:16,00:00:16,7,BKN,miss,,,,,,,,,,Jarrett Allen,0,,,missed,,unknown,0,0,-4,25.0,4.6,MISS Allen  Cutting Layup Shot
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,0,00:11:42,00:00:18,00:00:02,8,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:11:28,00:00:32,00:00:14,9,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,Pullup Jump Shot,16,-79,138,17.1,75.2,Osman 16' Pullup Jump Shot (2 PTS)
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:11:14,00:00:46,00:00:14,10,BKN,miss,,,,,,,,,,Caris LeVert,0,,,missed,,Layup,3,-2,28,25.2,7.8,MISS LeVert 3' Layup
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:11:11,00:00:49,00:00:03,11,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:11:01,00:00:59,00:00:10,12,CLE,miss,,,,,,,,,,Tristan Thompson,0,,,missed,,Layup,2,-3,19,24.7,87.1,MISS Thompson 2' Layup
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:10:59,00:01:01,00:00:02,13,BKN,rebound,,,,,,,,,,Jared Dudley,,,,,,rebound defensive,,,,,,Dudley REBOUND (Off:0 Def:1)
"=""0021800053""",2018-2019 Regular Season,2018-10-24,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,1,0,2,00:10:47,00:01:13,00:00:12,14,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Jump Shot,23,228,23,2.2,7.3,MISS Russell  3PT Jump Shot
