game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,0:12:00,0:00:00,0:00:00,4,LAL,jump ball,,Lonzo Ball,Deandre Ayton,,,,,,,Deandre Ayton,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Ayton vs. Ball: Tip to Ball
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,0,0:11:51,0:00:09,0:00:09,7,LAL,shot,Lonzo Ball,,,,,,,,,JaVale McGee,2,,,made,,Alley Oop Dunk,1,6,-4,24.4,4.6,McGee 1' Alley Oop Dunk (2 PTS) (Ball 1 AST)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,2,0:11:35,0:00:25,0:00:16,9,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,Pullup Jump Shot,7,-68,6,18.2,88.4,Booker 7' Pullup Jump Shot (2 PTS)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,2,0:11:17,0:00:43,0:00:18,10,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,Jump Shot,23,232,-11,1.8,3.9,MISS Ball  3PT Jump Shot
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,2,0:11:14,0:00:46,0:00:03,11,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,4,0:11:08,0:00:52,0:00:06,12,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,unknown,0,-2,-1,24.8,89.1,Booker  Driving Layup (4 PTS)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,4,0:10:59,0:01:01,0:00:09,13,LAL,foul,,,,,,,,Ryan Anderson,,Lonzo Ball,,,offensive charge foul,,,offensive charge foul,,,,,,Ball Offensive Charge Foul (P1.T1) (D.Guthrie)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,4,0:10:59,0:01:01,0:00:00,15,LAL,turnover,,,,,,,,,,Lonzo Ball,,,offensive foul turnover,,,offensive foul turnover,,,,,,Ball Offensive Foul Turnover (P1.T1)
0021800060,2018-2019 Regular Season,10/24/2018,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,4,0:10:48,0:01:12,0:00:11,16,LAL,foul,,,,,,,,Ryan Anderson,,JaVale McGee,,,p.foul,,,p.foul,,,,,,McGee P.FOUL (P1.T2) (D.Guthrie)
