game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Damian Jones,Mitchell Robinson,,,,,,,Mitchell Robinson,,Frank Ntilikina,,,,jump ball,,,,,,Jump Ball Robinson vs. Jones: Tip to Ntilikina
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,0,2,00:11:44,00:00:16,00:00:16,7,NYK,shot,,,,,,,,,,Tim Hardaway Jr.,2,,,made,,Driving Finger Roll Layup,3,-24,10,22.6,88.0,Hardaway Jr. 3' Driving Finger Roll Layup (2 PTS)
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,2,00:11:30,00:00:30,00:00:14,8,GSW,shot,Stephen Curry,,,,,,,,,Kevin Durant,2,,,made,,Jump Shot,16,158,34,9.2,8.4,Durant 16' Jump Shot (2 PTS) (Curry 1 AST)
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,2,00:11:10,00:00:50,00:00:20,12,NYK,foul,,,,,,,,Klay Thompson,,Frank Ntilikina,,,l.b.foul,,,l.b.foul,,,,,,Ntilikina L.B.FOUL (P1.T1) (S.Foster)
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,2,00:11:10,00:00:50,00:00:00,76,NYK,turnover,,,,,,,,,,Frank Ntilikina,,,turnover,,,turnover,,,,,,Ntilikina No Turnover (P1.T1)
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,2,00:11:00,00:01:00,00:00:10,14,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,26,231,122,1.9,17.2,MISS Durant 26' 3PT Jump Shot
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,2,00:10:59,00:01:01,00:00:01,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,5,00:10:50,00:01:10,00:00:09,17,NYK,shot,Noah Vonleh,,,,,,,,,Tim Hardaway Jr.,3,,,made,,Jump Shot,26,128,228,37.8,66.2,Hardaway Jr. 26' 3PT Jump Shot (5 PTS) (Vonleh 1 AST)
"=""0021800068""",2018-2019 Regular Season,2018-10-26,Kevin Durant,Draymond Green,Damian Jones,Stephen Curry,Klay Thompson,Damyean Dotson,Noah Vonleh,Mitchell Robinson,Tim Hardaway Jr.,Frank Ntilikina,1,2,5,00:10:35,00:01:25,00:00:15,19,GSW,turnover,,,,,,,,,,Stephen Curry,,,,,,unknown,,,,,,Curry Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
