game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Jarrett Allen,Anthony Davis,,,,,,,Anthony Davis,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Davis vs. Allen: Tip to Payton
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,3,00:11:42,00:00:18,00:00:18,7,NOP,shot,,,,,,,,,,Jrue Holiday,3,,,made,,Pullup Jump Shot,25,32,248,28.2,64.2,Holiday 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,3,00:11:23,00:00:37,00:00:19,8,BKN,miss,,,,,,,,,,Jared Dudley,0,,,missed,,Jump Shot,25,81,237,16.9,28.7,MISS Dudley 25' 3PT Jump Shot
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,3,00:11:16,00:00:44,00:00:07,9,BKN,rebound,,,,,,,,,,Joe Harris,,,,,,rebound offensive,,,,,,Harris REBOUND (Off:1 Def:0)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,3,00:11:14,00:00:46,00:00:02,10,BKN,turnover,,,,,,,,,,Joe Harris,,,bad pass ,,Anthony Davis,bad pass ,,,,,,"Harris Bad Pass Turnover (P1.T1), Davis STEAL (1 STL)"
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,5,00:11:07,00:00:53,00:00:07,12,NOP,shot,Jrue Holiday,,,,,,,,,Anthony Davis,2,,,made,,Alley Oop Layup,2,-16,16,23.4,87.4,Davis 2' Alley Oop Layup (2 PTS) (Holiday 1 AST)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,5,00:11:07,00:00:53,00:00:00,14,BKN,foul,,,,,,,,Anthony Davis,,Caris LeVert,,,s.foul,,,s.foul,,,,,,LeVert S.FOUL (P1.T1) (J.Goble)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,6,00:11:07,00:00:53,00:00:00,16,NOP,free throw,,,,,,,1,,1,Anthony Davis,1,,,made,,Free Throw 1 of 1,,,,,,Davis Free Throw 1 of 1 (3 PTS)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,6,00:10:55,00:01:05,00:00:12,17,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Floating Jump Shot,3,-5,31,25.5,8.1,MISS Harris 3' Floating Jump Shot
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,6,00:10:53,00:01:07,00:00:02,18,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
"=""0021800072""",2018-2019 Regular Season,2018-10-26,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,6,00:10:51,00:01:09,00:00:02,19,BKN,turnover,,,,,,,,,,D'Angelo Russell,,,lost ball ,,Jrue Holiday,lost ball ,,,,,,"Russell Lost Ball Turnover (P1.T2), Holiday STEAL (1 STL)"
