game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Rudy Gobert,Julius Randle,,,,,,,Julius Randle,,Nikola Mirotic,,,,jump ball,,,,,,Jump Ball Randle vs. Gobert: Tip to Mirotic
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:48,00:00:12,00:00:12,7,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Jump Shot,25,114,220,36.4,67.0,MISS Holiday 25' 3PT Jump Shot
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:47,00:00:13,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PELICANS Rebound
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,0,00:11:47,00:00:13,00:00:00,9,UTA,foul,,,,,,,,Elfrid Payton,,Donovan Mitchell,,,l.b.foul,,,l.b.foul,,,,,,Mitchell L.B.FOUL (P1.T1) (M.Smith)
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,2,00:11:37,00:00:23,00:00:10,12,NOP,shot,Jrue Holiday,,,,,,,,,Julius Randle,2,,,made,,Layup,1,-11,9,23.9,88.1,Randle 1' Layup (2 PTS) (Holiday 1 AST)
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,2,00:11:23,00:00:37,00:00:14,14,UTA,turnover,,,,,,,,,,Ricky Rubio,,,bad pass ,,Julius Randle,bad pass ,,,,,,"Rubio Bad Pass Turnover (P1.T1), Randle STEAL (1 STL)"
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,2,00:11:12,00:00:48,00:00:11,16,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,unknown,2,24,-4,27.4,89.4,MISS Randle 2' Driving Layup
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,0,2,00:11:08,00:00:52,00:00:04,17,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021800075""",2018-2019 Regular Season,2018-10-27,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,E'Twaun Moore,Julius Randle,Nikola Mirotic,Jrue Holiday,Elfrid Payton,1,2,2,00:11:04,00:00:56,00:00:04,18,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,1,-8,-3,25.8,4.7,Mitchell 1' Driving Layup (2 PTS)
