game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nikola Vucevic,Brook Lopez,,,,,,,Brook Lopez,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Lopez vs. Vucevic: Tip to Isaac
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:43,00:00:17,00:00:17,7,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Hook Shot,3,-2,34,25.2,8.4,MISS Vucevic 3' Hook Shot
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:41,00:00:19,00:00:02,8,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound offensive,,,,,,Vucevic REBOUND (Off:1 Def:0)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:36,00:00:24,00:00:05,9,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Jump Shot,27,-203,178,45.3,22.8,MISS Gordon 27' 3PT Jump Shot
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:33,00:00:27,00:00:03,10,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:28,00:00:32,00:00:05,11,MIL,foul,,,,,,,,Aaron Gordon,,Giannis Antetokounmpo,,,offensive charge foul,,,offensive charge foul,,,,,,Antetokounmpo Offensive Charge Foul (P1.T1) (C.Blair)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:28,00:00:32,00:00:00,13,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,offensive foul turnover,,,offensive foul turnover,,,,,,Antetokounmpo Offensive Foul Turnover (P1.T1)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:13,00:00:47,00:00:15,14,ORL,miss,,,,,,,,,,D.J. Augustin,0,,,missed,,Jump Shot,26,130,227,12.0,27.7,MISS Augustin 26' 3PT Jump Shot
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:11,00:00:49,00:00:02,15,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:10:58,00:01:02,00:00:13,16,MIL,miss,,,,Nikola Vucevic,,,,,,Giannis Antetokounmpo,0,,,missed,,unknown,3,11,26,26.1,86.4,"Vucevic BLOCK (1 BLK), MISS Antetokounmpo 3' Driving Layup"
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:10:55,00:01:05,00:00:03,17,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:1 Def:1)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,0,00:10:53,00:01:07,00:00:02,18,ORL,shot,,,,,,,,,,D.J. Augustin,3,,,made,,Jump Shot,27,-145,230,39.5,28.0,Augustin 27' 3PT Jump Shot (3 PTS)
"=""0021800081""",2018-2019 Regular Season,2018-10-27,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,2,00:10:33,00:01:27,00:00:20,19,MIL,shot,Eric Bledsoe,,,,,,,,,Khris Middleton,2,,,made,,Turnaround Jump Shot,4,36,10,28.6,88.0,Middleton 4' Turnaround Jump Shot (2 PTS) (Bledsoe 1 AST)
