game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,DeAndre Jordan,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Dennis Smith Jr.,,,,jump ball,,,,,,Jump Ball Aldridge vs. Jordan: Tip to Smith Jr.
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:41,00:00:19,00:00:19,7,DAL,turnover,,,,,,,,,,Dennis Smith Jr.,,,lost ball ,,Rudy Gay,lost ball ,,,,,,"Smith Jr. Lost Ball Turnover (P1.T1), Gay STEAL (1 STL)"
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:30,00:00:30,00:00:11,9,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,19,-122,147,12.8,74.3,Aldridge 19' Jump Shot (2 PTS) (DeRozan 1 AST)
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:11:15,00:00:45,00:00:15,11,DAL,shot,DeAndre Jordan,,,,,,,,,Wesley Matthews,2,,,made,,unknown,9,14,84,23.6,13.4,Matthews 9' Driving Floating Jump Shot (2 PTS) (Jordan 1 AST)
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:10:54,00:01:06,00:00:21,12,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Fadeaway Jumper,16,-158,28,9.2,86.2,MISS Aldridge 16' Fadeaway Jumper
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:10:51,00:01:09,00:00:03,13,DAL,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:10:46,00:01:14,00:00:05,14,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Pullup Jump Shot,17,77,146,17.3,19.6,MISS Barnes 17' Pullup Jump Shot
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:10:42,00:01:18,00:00:04,15,SAS,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,4,00:10:35,00:01:25,00:00:07,16,SAS,shot,LaMarcus Aldridge,,,,,,,,,Bryn Forbes,2,,,made,,Pullup Jump Shot,21,-5,207,24.5,68.3,Forbes 21' Pullup Jump Shot (2 PTS) (Aldridge 1 AST)
"=""0021800094""",2018-2019 Regular Season,2018-10-29,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Dante Cunningham,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,4,00:10:11,00:01:49,00:00:24,18,DAL,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,unknown,2,8,21,24.2,7.1,MISS Matthews 2' Cutting Finger Roll Layup Shot
