game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Boban Marjanovic,Nikola Vucevic,,,,,,,Nikola Vucevic,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Vucevic vs. Marjanovic: Tip to Isaac
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:36,00:00:24,00:00:24,7,ORL,shot,Nikola Vucevic,,,,,,,,,Aaron Gordon,2,,,made,,Fadeaway Jumper,19,78,174,32.8,71.6,Gordon 19' Fadeaway Jumper (2 PTS) (Vucevic 1 AST)
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:20,00:00:40,00:00:16,9,LAC,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Floating Jump Shot,9,-1,86,25.1,13.6,MISS Bradley 9' Floating Jump Shot
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:15,00:00:45,00:00:05,10,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:07,00:00:53,00:00:08,11,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,22,23,221,27.3,66.9,MISS Fournier 22' Jump Shot
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:02,00:00:58,00:00:05,12,LAC,rebound,,,,,,,,,,Boban Marjanovic,,,,,,rebound defensive,,,,,,Marjanovic REBOUND (Off:0 Def:1)
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:10:52,00:01:08,00:00:10,13,ORL,foul,,,,,,,,Danilo Gallinari,,Evan Fournier,,,p.foul,,,p.foul,,,,,,Fournier P.FOUL (P1.T1) (S.Corbin)
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:10:40,00:01:20,00:00:12,15,LAC,shot,,,,,,,,,,Danilo Gallinari,2,,,made,,unknown,8,-50,67,30.0,11.7,Gallinari 8' Driving Floating Jump Shot (2 PTS)
"=""0021800117""",2018-2019 Regular Season,2018-11-02,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Avery Bradley,Patrick Beverley,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:10:29,00:01:31,00:00:11,16,LAC,foul,,,,,,,,Aaron Gordon,,Tobias Harris,,,p.foul,,,p.foul,,,,,,Harris P.FOUL (P1.T1) (M.Ayotte)
