game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Anthony Davis,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Rudy Gay,,,,jump ball,,,,,,Jump Ball Aldridge vs. Davis: Tip to Gay
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:36,00:00:24,00:00:24,7,SAS,jump ball,,Jrue Holiday,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Rudy Gay,,,,jump ball,,,,,,Jump Ball Aldridge vs. Holiday: Tip to Gay
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:33,00:00:27,00:00:03,10,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Jump Shot,26,-1,257,24.9,63.3,MISS Gay 26' 3PT Jump Shot
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:30,00:00:30,00:00:03,11,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:27,00:00:33,00:00:03,12,NOP,turnover,,,,,,,,,,Anthony Davis,,,bad pass ,,Bryn Forbes,bad pass ,,,,,,"Davis Bad Pass Turnover (P1.T1), Forbes STEAL (1 STL)"
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:20,00:00:40,00:00:07,14,SAS,shot,,,,,,,,,,Bryn Forbes,2,,,made,,Running Finger Roll Layup,3,2,25,25.2,86.5,Forbes 3' Running Finger Roll Layup (2 PTS)
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:09,00:00:51,00:00:11,15,SAS,foul,,,,,,,,Anthony Davis,,LaMarcus Aldridge,,,s.foul,,,s.foul,,,,,,Aldridge S.FOUL (P1.T1) (C.Washington)
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,1,2,00:11:09,00:00:51,00:00:00,17,NOP,free throw,,,,,,,1,,2,Anthony Davis,1,,,made,,Free Throw 1 of 2,,,,,,Davis Free Throw 1 of 2 (1 PTS)
"=""0021800130""",2018-2019 Regular Season,2018-11-03,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:11:09,00:00:51,00:00:00,18,NOP,free throw,,,,,,,2,,2,Anthony Davis,1,,,made,,Free Throw 2 of 2,,,,,,Davis Free Throw 2 of 2 (2 PTS)
