game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Jarrett Allen,,,,,,,Jarrett Allen,,Robert Covington,,,,jump ball,,,,,,Jump Ball Allen vs. Embiid: Tip to Covington
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:38,00:00:22,00:00:22,7,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,Turnaround Hook Shot,6,-30,56,28.0,10.6,Embiid 6' Turnaround Hook Shot (2 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:21,00:00:39,00:00:17,8,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Pullup Jump Shot,23,-110,199,14.0,69.1,MISS Russell 23' Pullup Jump Shot
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:19,00:00:41,00:00:02,9,PHI,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:07,00:00:53,00:00:12,11,BKN,foul,,,,,,,,Joel Embiid,,Joe Harris,,,s.foul,,,s.foul,,,,,,Harris S.FOUL (P1.T1) (S.Wall)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:07,00:00:53,00:00:00,13,PHI,free throw,,,,,,,1,,2,Joel Embiid,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Embiid Free Throw 1 of 2
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,0,00:11:07,00:00:53,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ers Rebound
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,0,00:11:07,00:00:53,00:00:00,15,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,Free Throw 2 of 2,,,,,,Embiid Free Throw 2 of 2 (3 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,0,00:10:45,00:01:15,00:00:22,16,PHI,foul,,,,,,,,Caris LeVert,,Robert Covington,,,s.foul,,,s.foul,,,,,,Covington S.FOUL (P1.T1) (S.Wall)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,1,00:10:45,00:01:15,00:00:00,18,BKN,free throw,,,,,,,1,,2,Caris LeVert,1,,,made,,Free Throw 1 of 2,,,,,,LeVert Free Throw 1 of 2 (1 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,2,00:10:45,00:01:15,00:00:00,19,BKN,free throw,,,,,,,2,,2,Caris LeVert,1,,,made,,Free Throw 2 of 2,,,,,,LeVert Free Throw 2 of 2 (2 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,2,00:10:30,00:01:30,00:00:15,20,BKN,foul,,,,,,,,Robert Covington,,Jared Dudley,,,s.foul,,,s.foul,,,,,,Dudley S.FOUL (P1.T2) (G.Petraitis)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,2,00:10:30,00:01:30,00:00:00,22,PHI,free throw,,,,,,,1,,3,Robert Covington,0,,,missed,,Free Throw 1 of 3,,,,,,MISS Covington Free Throw 1 of 3
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,3,2,00:10:30,00:01:30,00:00:00,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ers Rebound
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,2,00:10:30,00:01:30,00:00:00,24,PHI,free throw,,,,,,,2,,3,Robert Covington,1,,,made,,Free Throw 2 of 3,,,,,,Covington Free Throw 2 of 3 (1 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,2,00:10:30,00:01:30,00:00:00,25,PHI,free throw,,,,,,,3,,3,Robert Covington,1,,,made,,Free Throw 3 of 3,,,,,,Covington Free Throw 3 of 3 (2 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,4,00:10:09,00:01:51,00:00:21,26,BKN,shot,D'Angelo Russell,,,,,,,,,Jared Dudley,2,,,made,,unknown,5,52,16,30.2,87.4,Dudley 5' Driving Floating Bank Jump Shot (2 PTS) (Russell 1 AST)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,4,00:09:56,00:02:04,00:00:13,28,PHI,miss,,,,,,,,,,Markelle Fultz,0,,,missed,,Pullup Jump Shot,19,-63,180,31.3,23.0,MISS Fultz 19' Pullup Jump Shot
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,4,00:09:53,00:02:07,00:00:03,29,BKN,rebound,,,,,,,,,,Caris LeVert,,,,,,rebound defensive,,,,,,LeVert REBOUND (Off:0 Def:1)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,6,00:09:48,00:02:12,00:00:05,30,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,unknown,4,2,37,25.2,85.3,Russell 4' Driving Floating Jump Shot (2 PTS)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,5,6,00:09:35,00:02:25,00:00:13,31,BKN,foul,,,,,,,,Joel Embiid,,Jarrett Allen,,,s.foul,,,s.foul,,,,,,Allen S.FOUL (P1.T3) (S.Wall)
"=""0021800134""",2018-2019 Regular Season,2018-11-04,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,6,6,00:09:35,00:02:25,00:00:00,33,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,Free Throw 1 of 2,,,,,,Embiid Free Throw 1 of 2 (4 PTS)
