game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Bam Adebayo,Andre Drummond,,,,,,,Andre Drummond,,Reggie Jackson,,,,jump ball,,,,,,Jump Ball Drummond vs. Adebayo: Tip to Jackson
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:11:43,00:00:17,00:00:17,7,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Turnaround Hook Shot,6,-56,16,19.4,87.4,MISS Drummond 6' Turnaround Hook Shot
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:11:41,00:00:19,00:00:02,8,MIA,rebound,,,,,,,,,,Rodney McGruder,,,,,,rebound defensive,,,,,,McGruder REBOUND (Off:0 Def:1)
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:35,00:00:25,00:00:06,9,MIA,shot,Goran Dragic,,,,,,,,,Josh Richardson,2,,,made,,Pullup Jump Shot,18,-85,159,33.5,20.9,Richardson 18' Pullup Jump Shot (2 PTS) (Dragic 1 AST)
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:12,00:00:48,00:00:23,11,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Jump Shot,27,-96,253,15.4,63.7,MISS Jackson 27' 3PT Jump Shot
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:09,00:00:51,00:00:03,12,MIA,rebound,,,,,,,,,,Rodney McGruder,,,,,,rebound defensive,,,,,,McGruder REBOUND (Off:0 Def:2)
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:03,00:00:57,00:00:06,13,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,27,157,222,9.3,27.2,MISS Richardson 27' 3PT Jump Shot
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:00,00:01:00,00:00:03,14,DET,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
"=""0021800140""",2018-2019 Regular Season,2018-11-05,Rodney McGruder,Justise Winslow,Bam Adebayo,Josh Richardson,Goran Dragic,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:10:53,00:01:07,00:00:07,16,DET,foul,,,,,,,,Rodney McGruder,,Andre Drummond,,,off.foul,,,off.foul,,,,,,Drummond OFF.Foul (P1) (K.Cutler)
