game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Boban Marjanovic,,,,,,,Boban Marjanovic,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Marjanovic vs. Towns: Tip to Gibson
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,0,00:11:39,00:00:21,00:00:21,7,MIN,shot,Jimmy Butler,,,,,,,,,Derrick Rose,2,,,made,,unknown,16,9,155,24.1,20.5,Rose 16' Driving Floating Jump Shot (2 PTS) (Butler 1 AST)
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,3,00:11:24,00:00:36,00:00:15,8,LAC,shot,Danilo Gallinari,,,,,,,,,Tobias Harris,3,,,made,,Jump Shot,25,-128,209,12.2,68.1,Harris 25' 3PT Jump Shot (3 PTS) (Gallinari 1 AST)
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,3,00:11:07,00:00:53,00:00:17,11,MIN,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Pullup Jump Shot,14,67,118,18.3,16.8,MISS Butler 14' Pullup Jump Shot
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,3,00:11:07,00:00:53,00:00:00,12,LAC,rebound,,,,,,,,,,Boban Marjanovic,,,,,,rebound defensive,,,,,,Marjanovic REBOUND (Off:0 Def:1)
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,3,00:10:54,00:01:06,00:00:13,13,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,26,132,220,38.2,67.0,MISS Harris 26' 3PT Jump Shot
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,2,3,00:10:49,00:01:11,00:00:05,14,MIN,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,4,3,00:10:37,00:01:23,00:00:12,15,MIN,shot,Jimmy Butler,,,,,,,,,Taj Gibson,2,,,made,,Layup,2,-12,16,26.2,6.6,Gibson 2' Layup (2 PTS) (Butler 2 AST)
"=""0021800148""",2018-2019 Regular Season,2018-11-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Derrick Rose,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Patrick Beverley,Shai Gilgeous-Alexander,1,4,3,00:10:25,00:01:35,00:00:12,17,LAC,miss,,,,Karl-Anthony Towns,,,,,,Tobias Harris,0,,,missed,,unknown,2,7,15,25.7,87.5,"Towns BLOCK (1 BLK), MISS Harris 2' Driving Layup"
