game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,0:12:00,0:00:00,0:00:00,4,DAL,jump ball,,DeAndre Jordan,Rudy Gobert,,,,,,,Rudy Gobert,,Luka Doncic,,,,jump ball,,,,,,Jump Ball Gobert vs. Jordan: Tip to Doncic
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,0:11:48,0:00:12,0:00:12,7,UTA,foul,,,,,,,,DeAndre Jordan,,Derrick Favors,,,p.foul,,,p.foul,,,,,,Favors P.FOUL (P1.T1) (S.Foster)
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,0:11:48,0:00:12,0:00:00,9,,unknown,,,,,,,,,,Dan Schayes,,,,,,uknown,,,,,,
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:39,0:00:21,0:00:09,10,DAL,shot,Dennis Smith Jr.,,,,,,,,,Wesley Matthews,2,,,made,,Driving Hook Shot,8,-24,73,27.4,12.3,Matthews 8' Driving Hook Shot (2 PTS) (Smith Jr. 1 AST)
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:18,0:00:42,0:00:21,11,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,17,-56,165,19.4,72.5,MISS Favors 17' Jump Shot
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:15,0:00:45,0:00:03,12,DAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:05,0:00:55,0:00:10,13,DAL,miss,,,,Derrick Favors,,,,,,Harrison Barnes,0,,,missed,,unknown,3,-33,11,28.3,6.1,"MISS Barnes 3' Driving Layup, Favors BLOCK (1 BLK)"
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:05,0:00:55,0:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Mavericks Rebound
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,0:11:04,0:00:56,0:00:01,18,DAL,turnover,,,,,,,,,,Harrison Barnes,,,lost ball ,,Ricky Rubio,lost ball ,,,,,,"Barnes Lost Ball Turnover (P1.T1), Rubio STEAL (1 STL)"
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,0:10:57,0:01:03,0:00:07,20,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Turnaround Jump Shot,12,124,15,37.4,87.5,Rubio 12' Turnaround Jump Shot (2 PTS)
0021800160,2018-2019 Regular Season,11/7/2018,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,0:10:45,0:01:15,0:00:12,21,DAL,turnover,,,,,,,,,,DeAndre Jordan,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Jordan Bad Pass Turnover (P1.T2), Rubio STEAL (2 STL)"
