game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Al Horford,Deandre Ayton,,,,,,,Deandre Ayton,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Ayton vs. Horford: Tip to Irving
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:43,00:00:17,00:00:17,7,BOS,shot,Gordon Hayward,,,,,,,,,Kyrie Irving,3,,,made,,Jump Shot,26,-85,242,33.5,29.2,Irving 26' 3PT Jump Shot (3 PTS) (Hayward 1 AST)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:23,00:00:37,00:00:20,9,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Jump Shot,14,-70,124,18.0,76.6,MISS Ayton 14' Jump Shot
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:21,00:00:39,00:00:02,10,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:19,00:00:41,00:00:02,11,PHX,foul,,,,,,,,Kyrie Irving,,Isaiah Canaan,,,p.foul,,,p.foul,,,,,,Canaan P.FOUL (P1.T1) (C.Washington)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:12,00:00:48,00:00:07,13,BOS,miss,,,,,,,,,,Al Horford,0,,,missed,,Jump Shot,20,-52,188,30.2,23.8,MISS Horford 20' Jump Shot
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,0,00:11:10,00:00:50,00:00:02,14,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,3,00:10:48,00:01:12,00:00:22,15,PHX,shot,Trevor Ariza,,,,,,,,,T.J. Warren,3,,,made,,Jump Shot,23,-228,-8,2.2,89.8,Warren  3PT Jump Shot (3 PTS) (Ariza 1 AST)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,3,00:10:32,00:01:28,00:00:16,17,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Fadeaway Jumper,11,-87,59,33.7,10.9,MISS Tatum 11' Fadeaway Jumper
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,3,00:10:29,00:01:31,00:00:03,18,PHX,rebound,,,,,,,,,,T.J. Warren,,,,,,rebound defensive,,,,,,Warren REBOUND (Off:0 Def:1)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,5,00:10:07,00:01:53,00:00:22,19,PHX,shot,T.J. Warren,,,,,,,,,Deandre Ayton,2,,,made,,unknown,1,-4,11,24.6,87.9,Ayton 1' Cutting Layup Shot (2 PTS) (Warren 1 AST)
"=""0021800164""",2018-2019 Regular Season,2018-11-08,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,Trevor Ariza,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,5,00:10:01,00:01:59,00:00:06,21,BOS,turnover,,,,,,,,,,Al Horford,,,bad pass ,,Devin Booker,bad pass ,,,,,,"Horford Bad Pass Turnover (P1.T1), Booker STEAL (1 STL)"
