game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,50,LAC,violation,,,,,,,,,,Boban Marjanovic,,,,,,violation:jump ball,,,,,,Marjanovic Violation:Jump Ball (.)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,46,LAC,violation,,,,,,,,,,Boban Marjanovic,,,,,,violation:jump ball,,,,,,Marjanovic Violation:Jump Ball (.)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Boban Marjanovic,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Nurkic vs. Marjanovic: Tip to Aminu
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:36,00:00:24,00:00:24,7,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Fadeaway Jumper,9,-85,16,16.5,87.4,MISS Lillard 9' Fadeaway Jumper
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:33,00:00:27,00:00:03,8,LAC,rebound,,,,,,,,,,Boban Marjanovic,,,,,,rebound defensive,,,,,,Marjanovic REBOUND (Off:0 Def:1)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:14,00:00:46,00:00:19,9,LAC,miss,,,,,,,,,,Boban Marjanovic,0,,,missed,,Turnaround Hook Shot,8,24,74,22.6,12.4,MISS Marjanovic 8' Turnaround Hook Shot
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:12,00:00:48,00:00:02,10,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:08,00:00:52,00:00:04,11,LAC,foul,,,,,,,,CJ McCollum,,Patrick Beverley,,,s.foul,,,s.foul,,,,,,Beverley S.FOUL (P1.T1) (K.Scott)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:08,00:00:52,00:00:00,13,,unknown,,,,,,,,,,,,,,,,uknown,,,,,,
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,1,00:11:08,00:00:52,00:00:00,14,POR,free throw,,,,,,,1,,3,CJ McCollum,1,,,made,,Free Throw 1 of 3,,,,,,McCollum Free Throw 1 of 3 (1 PTS)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:08,00:00:52,00:00:00,15,POR,free throw,,,,,,,2,,3,CJ McCollum,1,,,made,,Free Throw 2 of 3,,,,,,McCollum Free Throw 2 of 3 (2 PTS)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,3,00:11:08,00:00:52,00:00:00,16,POR,free throw,,,,,,,3,,3,CJ McCollum,1,,,made,,Free Throw 3 of 3,,,,,,McCollum Free Throw 3 of 3 (3 PTS)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,3,00:10:45,00:01:15,00:00:23,19,LAC,shot,Tobias Harris,,,,,,,,,Danilo Gallinari,3,,,made,,Jump Shot,25,127,213,12.3,26.3,Gallinari 25' 3PT Jump Shot (3 PTS) (Harris 1 AST)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,5,00:10:30,00:01:30,00:00:15,21,POR,shot,CJ McCollum,,,,,,,,,Jusuf Nurkic,2,,,made,,Driving Hook Shot,3,-6,32,24.4,85.8,Nurkic 3' Driving Hook Shot (2 PTS) (McCollum 1 AST)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,5,00:10:11,00:01:49,00:00:19,22,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Turnaround Jump Shot,10,70,69,18.0,11.9,MISS Harris 10' Turnaround Jump Shot
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,5,00:10:09,00:01:51,00:00:02,23,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021800165""",2018-2019 Regular Season,2018-11-08,Tobias Harris,Danilo Gallinari,Boban Marjanovic,Shai Gilgeous-Alexander,Patrick Beverley,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,5,00:10:02,00:01:58,00:00:07,24,POR,miss,,,,Boban Marjanovic,,,,,,Jusuf Nurkic,0,,,missed,,Driving Hook Shot,2,-19,16,23.1,87.4,"Marjanovic BLOCK (1 BLK), MISS Nurkic 2' Driving Hook Shot"
