game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Towns: Tip to Gibson
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:11:42,0:00:18,0:00:18,7,MIN,miss,,,,,,,,,,Derrick Rose,0,,,missed,,Jump Shot,5,42,22,20.8,7.2,MISS Rose 5' Jump Shot
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:11:40,0:00:20,0:00:02,8,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound offensive,,,,,,Towns REBOUND (Off:1 Def:0)
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:38,0:00:22,0:00:02,9,MIN,shot,,,,,,,,,,Karl-Anthony Towns,2,,,made,,Hook Shot,4,-44,6,29.4,5.6,Towns 4' Hook Shot (2 PTS)
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:26,0:00:34,0:00:12,10,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,25,-29,246,22.1,64.4,MISS Bjelica 25' 3PT Jump Shot
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:26,0:00:34,0:00:00,11,MIN,rebound,,,,,,,,,,Josh Okogie,,,,,,rebound defensive,,,,,,Okogie REBOUND (Off:0 Def:1)
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:02,0:00:58,0:00:24,13,MIN,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Jump Shot,20,203,25,4.7,7.5,MISS Butler 20' Jump Shot
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:10:59,0:01:01,0:00:03,14,SAC,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound defensive,,,,,,Hield REBOUND (Off:0 Def:1)
0021800173,2018-2019 Regular Season,11/9/2018,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:10:53,0:01:07,0:00:06,15,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Jump Shot,20,-18,197,23.2,69.3,MISS Hield 20' Jump Shot
