game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Marcin Gortat,,,,,,,Marcin Gortat,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Gortat vs. Lopez: Tip to Antetokounmpo
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:37,00:00:23,00:00:23,7,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Step Back Jump Shot,17,88,150,16.2,20.0,MISS Middleton 17' Step Back Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:34,00:00:26,00:00:03,8,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound defensive,,,,,,Beverley REBOUND (Off:0 Def:1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:12,00:00:48,00:00:22,9,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,CLIPPERS Turnover: Shot Clock (T#1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:11:00,00:01:00,00:00:12,10,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,26,16,262,23.4,31.2,MISS Bledsoe 26' 3PT Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,0,00:10:56,00:01:04,00:00:04,11,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,2,00:10:48,00:01:12,00:00:08,12,LAC,shot,Tobias Harris,,,,,,,,,Marcin Gortat,2,,,made,,unknown,0,0,1,25.0,88.9,Gortat  Cutting Layup Shot (2 PTS) (Harris 1 AST)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,2,00:10:44,00:01:16,00:00:04,14,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,,,,unknown,,,,,,Antetokounmpo Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:10:35,00:01:25,00:00:09,15,LAC,shot,Marcin Gortat,,,,,,,,,Tobias Harris,2,,,made,,Jump Shot,16,20,154,27.0,73.6,Harris 16' Jump Shot (2 PTS) (Gortat 1 AST)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:10:15,00:01:45,00:00:20,17,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,25,181,177,6.9,22.7,MISS Brogdon 25' 3PT Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:10:11,00:01:49,00:00:04,18,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:2)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:10:04,00:01:56,00:00:07,19,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Jump Shot,27,-127,235,12.3,65.5,MISS Gallinari 27' 3PT Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:10:01,00:01:59,00:00:03,20,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:57,00:02:03,00:00:04,21,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Running Layup,4,27,29,22.3,7.9,MISS Middleton 4' Running Layup
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:50,00:02:10,00:00:07,22,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:50,00:02:10,00:00:00,23,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Putback Dunk,1,0,-6,25.0,4.4,MISS Antetokounmpo 1' Putback Dunk
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:49,00:02:11,00:00:01,24,LAC,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:41,00:02:19,00:00:08,25,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,27,-136,230,11.4,66.0,MISS Harris 27' 3PT Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,4,00:09:38,00:02:22,00:00:03,26,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound offensive,,,,,,Gallinari REBOUND (Off:1 Def:0)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,6,00:09:35,00:02:25,00:00:03,27,LAC,shot,,,,,,,,,,Danilo Gallinari,2,,,made,,Jump Shot,13,-17,132,23.3,75.8,Gallinari 13' Jump Shot (2 PTS)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,6,00:09:16,00:02:44,00:00:19,28,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,27,-118,242,36.8,29.2,MISS Lopez 27' 3PT Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,6,00:09:13,00:02:47,00:00:03,29,LAC,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:2)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,0,6,00:09:09,00:02:51,00:00:04,30,LAC,turnover,,,,,,,,,,Tobias Harris,,,bad pass ,,Brook Lopez,bad pass ,,,,,,"Lopez STEAL (1 STL), Harris Bad Pass Turnover (P1.T2)"
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,2,6,00:09:03,00:02:57,00:00:06,32,MIL,shot,,,,,,,,,,Malcolm Brogdon,2,,,made,,Running Layup,1,-2,9,25.2,5.9,Brogdon 1' Running Layup (2 PTS)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,2,6,00:08:53,00:03:07,00:00:10,33,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,unknown,10,-38,97,21.2,79.3,MISS Gilgeous-Alexander 10' Driving Floating Jump Shot
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,2,6,00:08:48,00:03:12,00:00:05,34,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,5,6,00:08:39,00:03:21,00:00:09,36,MIL,shot,Brook Lopez,,,,,,,,,Khris Middleton,3,,,made,,Jump Shot,25,228,114,2.2,16.4,Middleton 25' 3PT Jump Shot (3 PTS) (Lopez 1 AST)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,5,6,00:08:24,00:03:36,00:00:15,38,MIL,foul,,,,,,,,,,Eric Bledsoe,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,Bucks T.Foul (Def. 3 Sec Bledsoe ) (M.Lindsay)
"=""0021800175""",2018-2019 Regular Season,2018-11-10,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,1,5,7,00:08:24,00:03:36,00:00:00,39,LAC,free throw,,,,,,,1,,1,Danilo Gallinari,1,,,made,,Free Throw Technical,,,,,,Gallinari Free Throw Technical (3 PTS)
