game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Marc Gasol,,,,,,,Marc Gasol,,Landry Shamet,,,,jump ball,,,,,,Jump Ball Gasol vs. Embiid: Tip to Shamet
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,2,0,00:11:47,00:00:13,00:00:13,7,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,Pullup Jump Shot,9,47,76,20.3,12.6,Simmons 9' Pullup Jump Shot (2 PTS)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,2,0,00:11:30,00:00:30,00:00:17,8,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,20,-5,197,24.5,69.3,MISS Gasol 20' Jump Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,2,0,00:11:26,00:00:34,00:00:04,9,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,4,0,00:11:17,00:00:43,00:00:09,10,PHI,shot,Landry Shamet,,,,,,,,,Markelle Fultz,2,,,made,,unknown,6,59,8,19.1,5.8,Fultz 6' Driving Floating Jump Shot (2 PTS) (Shamet 1 AST)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,4,2,00:10:56,00:01:04,00:00:21,12,MEM,shot,,,,,,,,,,Garrett Temple,2,,,made,,Pullup Jump Shot,18,181,14,43.1,87.6,Temple 18' Pullup Jump Shot (2 PTS)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,4,2,00:10:45,00:01:15,00:00:11,13,PHI,miss,,,,,,,,,,Landry Shamet,0,,,missed,,Jump Shot,25,62,247,18.8,29.7,MISS Shamet 25' 3PT Jump Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,4,2,00:10:43,00:01:17,00:00:02,14,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,4,4,00:10:38,00:01:22,00:00:05,15,MEM,shot,Mike Conley,,,,,,,,,Jaren Jackson Jr.,2,,,made,,Dunk,1,-5,13,24.5,87.7,Jackson Jr. 1' Dunk (2 PTS) (Conley 1 AST)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:31,00:01:29,00:00:07,17,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,unknown,0,0,5,25.0,5.5,Simmons 1' Driving Dunk (4 PTS)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:16,00:01:44,00:00:15,18,MEM,miss,,,,Markelle Fultz,,,,,,Mike Conley,0,,,missed,,unknown,2,1,15,25.1,87.5,"Fultz BLOCK (1 BLK), MISS Conley 2' Cutting Layup Shot"
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:12,00:01:48,00:00:04,20,MEM,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound offensive,,,,,,Anderson REBOUND (Off:1 Def:0)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:11,00:01:49,00:00:01,21,MEM,miss,,,,,,,,,,Kyle Anderson,0,,,missed,,Putback Layup,1,0,9,25.0,88.1,MISS Anderson 1' Putback Layup
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:09,00:01:51,00:00:02,22,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:2)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:08,00:01:52,00:00:01,23,PHI,turnover,,,,,,,,,,Ben Simmons,,,lost ball ,,Kyle Anderson,lost ball ,,,,,,"Simmons Lost Ball Turnover (P1.T1), Anderson STEAL (1 STL)"
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:04,00:01:56,00:00:04,25,MEM,miss,,,,,,,,,,Kyle Anderson,0,,,missed,,Layup,0,-3,4,24.7,88.6,MISS Anderson 1' Layup
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:10:01,00:01:59,00:00:03,26,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:3)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:09:57,00:02:03,00:00:04,27,PHI,miss,,,,,,,,,,Landry Shamet,0,,,missed,,Jump Shot,23,-232,-10,48.2,4.0,MISS Shamet  3PT Jump Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:09:54,00:02:06,00:00:03,28,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,6,4,00:09:47,00:02:13,00:00:07,29,MEM,turnover,,,,,,,,,,Garrett Temple,,,bad pass ,,Landry Shamet,bad pass ,,,,,,"Shamet STEAL (1 STL), Temple Bad Pass Turnover (P1.T1)"
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:43,00:02:17,00:00:04,31,PHI,shot,Landry Shamet,,,,,,,,,JJ Redick,2,,,made,,Running Layup,1,-7,10,25.7,6.0,Redick 1' Running Layup (2 PTS) (Shamet 2 AST)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:42,00:02:18,00:00:01,33,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,GRIZZLIES Timeout: Regular (Full 1 Short 0)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:32,00:02:28,00:00:10,34,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,26,112,230,36.2,66.0,MISS Temple 26' 3PT Jump Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:29,00:02:31,00:00:03,35,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:1 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:15,00:02:45,00:00:14,36,MEM,miss,,,,,,,,,,Kyle Anderson,0,,,missed,,Pullup Jump Shot,21,-118,168,13.2,72.2,MISS Anderson 21' Pullup Jump Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:12,00:02:48,00:00:03,37,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:09,00:02:51,00:00:03,38,PHI,miss,,,,,,,,,,Landry Shamet,0,,,missed,,unknown,0,0,-4,25.0,4.6,MISS Shamet  Running Alley Oop Layup Shot
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:07,00:02:53,00:00:02,39,PHI,rebound,,,,,,,,,,Landry Shamet,,,,,,rebound offensive,,,,,,Shamet REBOUND (Off:1 Def:0)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:00,00:03:00,00:00:07,40,PHI,foul,,,,,,,,Mike Conley,,Joel Embiid,,,off.foul,,,off.foul,,,,,,Embiid OFF.Foul (P1) (M.Kogut)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:09:00,00:03:00,00:00:00,42,PHI,turnover,,,,,,,,,,Joel Embiid,,,offensive foul turnover,,,offensive foul turnover,,,,,,Embiid Offensive Foul Turnover (P1.T2)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:08:43,00:03:17,00:00:17,43,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,unknown,1,-10,8,24.0,88.2,MISS Conley 1' Driving Layup
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,4,00:08:40,00:03:20,00:00:03,44,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:2 Def:1)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,6,00:08:35,00:03:25,00:00:05,45,MEM,shot,Marc Gasol,,,,,,,,,Kyle Anderson,2,,,made,,unknown,6,29,47,27.9,84.3,Anderson 6' Driving Floating Bank Jump Shot (2 PTS) (Gasol 1 AST)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,6,00:08:22,00:03:38,00:00:13,47,PHI,foul,,,,,,,,Kyle Anderson,,Ben Simmons,,,offensive charge foul,,,offensive charge foul,,,,,,Simmons Offensive Charge Foul (P1.T1) (M.Kogut)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,6,00:08:22,00:03:38,00:00:00,49,PHI,turnover,,,,,,,,,,Ben Simmons,,,offensive foul turnover,,,offensive foul turnover,,,,,,Simmons Offensive Foul Turnover (P2.T3)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,8,8,00:08:06,00:03:54,00:00:16,50,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Step Back Jump Shot,18,-176,30,7.4,86.0,Gasol 18' Step Back Jump Shot (2 PTS) (Conley 2 AST)
"=""0021800179""",2018-2019 Regular Season,2018-11-10,JJ Redick,Landry Shamet,Joel Embiid,Markelle Fultz,Ben Simmons,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,10,8,00:07:54,00:04:06,00:00:12,52,PHI,shot,Joel Embiid,,,,,,,,,JJ Redick,2,,,made,,Pullup Jump Shot,21,-93,183,34.3,23.3,Redick 21' Pullup Jump Shot (4 PTS) (Embiid 1 AST)
