game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Damian Jones,,,,,,,Damian Jones,,Joe Harris,,,,jump ball,,,,,,Jump Ball Jones vs. Allen: Tip to Harris
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,2,0,00:11:43,00:00:17,00:00:17,7,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,Step Back Jump Shot,12,44,112,20.6,16.2,Russell 12' Step Back Jump Shot (2 PTS)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,2,0,00:11:22,00:00:38,00:00:21,8,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Pullup Jump Shot,18,-107,146,14.3,74.4,MISS Durant 18' Pullup Jump Shot
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,2,0,00:11:21,00:00:39,00:00:01,9,BKN,rebound,,,,,,,,,,Jared Dudley,,,,,,rebound defensive,,,,,,Dudley REBOUND (Off:0 Def:1)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,2,0,00:11:13,00:00:47,00:00:08,10,GSW,foul,,,,,,,,Jarrett Allen,,Klay Thompson,,,p.foul,,,p.foul,,,,,,Thompson P.FOUL (P1.T1) (B.Nansel)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,0,00:11:10,00:00:50,00:00:03,12,BKN,shot,Joe Harris,,,,,,,,,D'Angelo Russell,3,,,made,,Jump Shot,29,-62,281,31.2,33.1,Russell 29' 3PT Jump Shot (5 PTS) (Harris 1 AST)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,0,00:10:52,00:01:08,00:00:18,13,BKN,foul,,,,,,,,Damian Jones,,Jarrett Allen,,,p.foul,,,p.foul,,,,,,Allen P.FOUL (P1.T1) (B.Nansel)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,0,00:10:47,00:01:13,00:00:05,15,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,26,29,255,27.9,63.5,MISS Thompson 26' 3PT Jump Shot
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,0,00:10:45,00:01:15,00:00:02,16,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound offensive,,,,,,Durant REBOUND (Off:1 Def:0)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:39,00:01:21,00:00:06,17,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Reverse Layup,3,7,29,25.7,86.1,Durant 3' Reverse Layup (2 PTS)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:29,00:01:31,00:00:10,18,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Jump Shot,23,-223,42,47.3,9.2,MISS Harris  3PT Jump Shot
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:27,00:01:33,00:00:02,19,GSW,rebound,,,,,,,,,,Jonas Jerebko,,,,,,rebound defensive,,,,,,Jerebko REBOUND (Off:0 Def:1)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:24,00:01:36,00:00:03,20,GSW,turnover,,,,,,,,,,Klay Thompson,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Thompson Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:09,00:01:51,00:00:15,21,BKN,turnover,,,,,,,,,,Jared Dudley,,,bad pass ,,Kevin Durant,bad pass ,,,,,,"Dudley Bad Pass Turnover (P1.T1), Durant STEAL (1 STL)"
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:05,00:01:55,00:00:04,23,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Layup,2,-3,16,24.7,87.4,MISS Thompson 2' Layup
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:10:04,00:01:56,00:00:01,24,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:09:57,00:02:03,00:00:07,25,BKN,miss,,,,Damian Jones,,,,,,Joe Harris,0,,,missed,,Layup,3,-8,32,25.8,8.2,"MISS Harris 3' Layup, Jones BLOCK (1 BLK)"
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,2,00:09:55,00:02:05,00:00:02,27,GSW,rebound,,,,,,,,,,Quinn Cook,,,,,,rebound defensive,,,,,,Cook REBOUND (Off:0 Def:1)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,4,00:09:50,00:02:10,00:00:05,28,GSW,shot,Quinn Cook,,,,,,,,,Klay Thompson,2,,,made,,Running Layup,3,3,25,25.3,86.5,Thompson 3' Running Layup (2 PTS) (Cook 1 AST)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,4,00:09:39,00:02:21,00:00:11,30,GSW,foul,,,,,,,,Caris LeVert,,Klay Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P2.T2) (S.Wright)
"=""0021800182""",2018-2019 Regular Season,2018-11-10,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Quinn Cook,1,5,4,00:09:39,00:02:21,00:00:00,32,GSW,foul,,,,,,,,,,Klay Thompson,,,foul,,,foul,,,,,,Thompson T.FOUL (P2.T2) (S.Wright)
