game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. McGee: Tip to Ball
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:50,00:00:10,00:00:10,7,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,Jump Shot,24,233,49,1.7,9.9,MISS Ball 24' 3PT Jump Shot
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:49,00:00:11,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Lakers Rebound
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:44,00:00:16,00:00:05,10,LAL,shot,Brandon Ingram,,,,,,,,,LeBron James,2,,,made,,unknown,2,20,5,23.0,5.5,James 2' Cutting Layup Shot (2 PTS) (Ingram 1 AST)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:26,00:00:34,00:00:18,12,SAC,miss,,,,,,,,,,Iman Shumpert,0,,,missed,,Pullup Jump Shot,15,2,145,25.2,74.5,MISS Shumpert 15' Pullup Jump Shot
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:23,00:00:37,00:00:03,13,LAL,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:11,00:00:49,00:00:12,14,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,25,232,79,1.8,12.9,MISS Kuzma 25' 3PT Jump Shot
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:08,00:00:52,00:00:03,15,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:02,00:00:58,00:00:06,16,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,unknown,2,-21,1,22.9,88.9,Fox 2' Driving Layup (2 PTS)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:02,00:00:58,00:00:00,17,LAL,foul,,,,,,,,De'Aaron Fox,,Kyle Kuzma,,,s.foul,,,s.foul,,,,,,Kuzma S.FOUL (P1.T1) (T.Ford)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,3,00:11:02,00:00:58,00:00:00,19,SAC,free throw,,,,,,,1,,1,De'Aaron Fox,1,,,made,,Free Throw 1 of 1,,,,,,Fox Free Throw 1 of 1 (3 PTS)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,3,00:10:48,00:01:12,00:00:14,20,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,unknown,2,-9,16,25.9,6.6,Ingram 2' Driving Layup (2 PTS)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,3,00:10:40,00:01:20,00:00:08,21,SAC,miss,,,,,,,,,,Iman Shumpert,0,,,missed,,Jump Shot,23,230,13,48.0,87.7,MISS Shumpert  3PT Jump Shot
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,3,00:10:37,00:01:23,00:00:03,22,SAC,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound offensive,,,,,,Hield REBOUND (Off:1 Def:0)
"=""0021800183""",2018-2019 Regular Season,2018-11-10,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,3,00:10:35,00:01:25,00:00:02,23,SAC,miss,,,,,,,,,,Iman Shumpert,0,,,missed,,Jump Shot,23,230,17,48.0,87.3,MISS Shumpert  3PT Jump Shot
