game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:11:45,00:00:15,00:00:15,4,LAL,turnover,,,,,,,,,,Brandon Ingram,,,lost ball ,,Kent Bazemore,lost ball ,,,,,,"Bazemore STEAL (1 STL), Ingram Lost Ball Turnover (P1.T1)"
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:11:39,00:00:21,00:00:06,6,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Pullup Jump Shot,28,157,227,9.3,27.7,MISS Prince 28' 3PT Pullup Jump Shot
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:11:34,00:00:26,00:00:05,7,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:11:30,00:00:30,00:00:04,8,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Step Back Jump Shot,12,-78,85,17.2,80.5,MISS Ingram 12' Step Back Jump Shot
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,0,0,00:11:25,00:00:35,00:00:05,9,ATL,rebound,,,,,,,,,,Kent Bazemore,,,,,,rebound defensive,,,,,,Bazemore REBOUND (Off:0 Def:1)
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,3,0,00:11:22,00:00:38,00:00:03,10,ATL,shot,Kent Bazemore,,,,,,,,,Taurean Prince,3,,,made,,unknown,27,174,201,7.6,25.1,Prince 27' 3PT Running Pull-Up Jump Shot (3 PTS) (Bazemore 1 AST)
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,3,0,00:11:08,00:00:52,00:00:14,12,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,unknown,11,14,105,26.4,78.5,MISS Ball 11' Driving Floating Bank Jump Shot
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,3,0,00:11:05,00:00:55,00:00:03,13,ATL,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:0 Def:1)
"=""0021800189""",2018-2019 Regular Season,2018-11-11,Taurean Prince,Omari Spellman,Alex Len,Kent Bazemore,Trae Young,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,1,5,0,00:11:02,00:00:58,00:00:03,14,ATL,shot,,,,,,,,,,Kent Bazemore,2,,,made,,Pullup Jump Shot,18,8,179,24.2,22.9,Bazemore 18' Pullup Jump Shot (2 PTS)
