game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Wendell Carter Jr.,Al Horford,,,,,,,Al Horford,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Horford vs. Carter Jr.: Tip to Arcidiacono
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:11:43,00:00:17,00:00:17,7,CHI,miss,,,,,,,,,,Justin Holiday,0,,,missed,,Driving Finger Roll Layup,6,44,37,20.6,8.7,MISS Holiday 6' Driving Finger Roll Layup
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:11:40,00:00:20,00:00:03,8,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:11:32,00:00:28,00:00:08,9,BOS,turnover,,,,,,,,,,Gordon Hayward,,,,,,unknown,,,,,,Hayward Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,3,0,00:11:19,00:00:41,00:00:13,10,CHI,shot,Ryan Arcidiacono,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,27,-168,210,41.8,26.0,Holiday 27' 3PT Jump Shot (3 PTS) (Arcidiacono 1 AST)
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,3,0,00:11:06,00:00:54,00:00:13,13,BOS,turnover,,,,,,,,,,Jaylen Brown,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Brown Out of Bounds Lost Ball Turnover (P1.T2)
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,5,0,00:10:52,00:01:08,00:00:14,15,CHI,shot,Ryan Arcidiacono,,,,,,,,,Jabari Parker,2,,,made,,Turnaround Fadeaway ,12,-71,102,32.1,15.2,Parker 12' Turnaround Fadeaway (2 PTS) (Arcidiacono 2 AST)
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,5,0,00:10:35,00:01:25,00:00:17,17,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Fadeaway Jumper,18,-23,181,22.7,70.9,MISS Irving 18' Fadeaway Jumper
"=""0021800204""",2018-2019 Regular Season,2018-11-14,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,1,5,0,00:10:32,00:01:28,00:00:03,18,CHI,rebound,,,,,,,,,,Jabari Parker,,,,,,rebound defensive,,,,,,Parker REBOUND (Off:0 Def:1)
