game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,LaMarcus Aldridge,Deandre Ayton,,,,,,,Deandre Ayton,,Dante Cunningham,,,,jump ball,,,,,,Jump Ball Ayton vs. Aldridge: Tip to Cunningham
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:11:39,00:00:21,00:00:21,7,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,unknown,1,8,0,24.2,5.0,MISS Aldridge 1' Cutting Layup Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:11:36,00:00:24,00:00:03,8,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:1 Def:0)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:11:36,00:00:24,00:00:00,9,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Aldridge 1' Tip Layup Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:11:35,00:00:25,00:00:01,10,PHX,rebound,,,,,,,,,,T.J. Warren,,,,,,rebound defensive,,,,,,Warren REBOUND (Off:0 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,2,00:11:31,00:00:29,00:00:04,11,PHX,shot,Devin Booker,,,,,,,,,Deandre Ayton,2,,,made,,Turnaround Hook Shot,3,9,24,25.9,86.6,Ayton 3' Turnaround Hook Shot (2 PTS) (Booker 1 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,2,00:11:13,00:00:47,00:00:18,13,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,21,3,206,24.7,25.6,MISS Aldridge 21' Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,2,00:11:09,00:00:51,00:00:04,14,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,5,00:10:52,00:01:08,00:00:17,15,PHX,shot,T.J. Warren,,,,,,,,,Isaiah Canaan,3,,,made,,Jump Shot,28,158,237,40.8,65.3,Canaan 28' 3PT Jump Shot (3 PTS) (Warren 1 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,5,00:10:36,00:01:24,00:00:16,17,SAS,shot,Dante Cunningham,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,25,79,241,17.1,29.1,Forbes 25' 3PT Jump Shot (3 PTS) (Cunningham 1 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,5,00:10:15,00:01:45,00:00:21,19,SAS,foul,,,,,,,,T.J. Warren,,DeMar DeRozan,,,s.foul,,,s.foul,,,,,,DeRozan S.FOUL (P1.T1) (R.Mott)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,6,00:10:15,00:01:45,00:00:00,21,PHX,free throw,,,,,,,1,,2,T.J. Warren,1,,,made,,Free Throw 1 of 2,,,,,,Warren Free Throw 1 of 2 (1 PTS)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:10:15,00:01:45,00:00:00,22,PHX,free throw,,,,,,,2,,2,T.J. Warren,1,,,made,,Free Throw 2 of 2,,,,,,Warren Free Throw 2 of 2 (2 PTS)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:54,00:02:06,00:00:21,23,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Pullup Jump Shot,21,155,136,9.5,18.6,MISS Forbes 21' Pullup Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:52,00:02:08,00:00:02,24,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:2 Def:0)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:49,00:02:11,00:00:03,25,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Jump Shot,9,-92,15,34.2,6.5,MISS Aldridge 9' Turnaround Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:47,00:02:13,00:00:02,26,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:33,00:02:27,00:00:14,27,PHX,miss,,,,,,,,,,Mikal Bridges,0,,,missed,,Jump Shot,22,224,5,47.4,88.5,MISS Bridges  3PT Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:30,00:02:30,00:00:03,28,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:2 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:19,00:02:41,00:00:11,29,SAS,turnover,,,,,,,,,,Dante Cunningham,,,bad pass ,,Deandre Ayton,bad pass ,,,,,,"Cunningham Bad Pass Turnover (P1.T1), Ayton STEAL (1 STL)"
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,3,7,00:09:09,00:02:51,00:00:10,31,PHX,turnover,,,,,,,,,,Isaiah Canaan,,,bad pass ,,Dante Cunningham,bad pass ,,,,,,"Cunningham STEAL (1 STL), Canaan Bad Pass Turnover (P1.T1)"
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,7,00:09:03,00:02:57,00:00:06,33,SAS,shot,Bryn Forbes,,,,,,,,,Dante Cunningham,2,,,made,,Running Finger Roll Layup,0,-2,1,25.2,5.1,Cunningham  Running Finger Roll Layup (2 PTS) (Forbes 1 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,9,00:08:46,00:03:14,00:00:17,35,PHX,shot,Deandre Ayton,,,,,,,,,T.J. Warren,2,,,made,,unknown,7,-70,0,18.0,89.0,Warren 7' Driving Floating Jump Shot (4 PTS) (Ayton 1 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,9,00:08:46,00:03:14,00:00:00,37,SAS,foul,,,,,,,,T.J. Warren,,Dante Cunningham,,,s.foul,,,s.foul,,,,,,Cunningham S.FOUL (P1.T2) (R.Mott)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:08:46,00:03:14,00:00:00,39,PHX,free throw,,,,,,,1,,1,T.J. Warren,1,,,made,,Free Throw 1 of 1,,,,,,Warren Free Throw 1 of 1 (5 PTS)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:08:34,00:03:26,00:00:12,40,PHX,foul,,,,,,,,DeMar DeRozan,,Deandre Ayton,,,p.foul,,,p.foul,,,,,,Ayton P.FOUL (P1.T1) (R.Mott)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:08:24,00:03:36,00:00:10,42,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,Jump Shot,23,234,4,1.6,5.4,MISS White  3PT Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:08:22,00:03:38,00:00:02,43,PHX,rebound,,,,,,,,,,T.J. Warren,,,,,,rebound defensive,,,,,,Warren REBOUND (Off:0 Def:2)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:08:00,00:04:00,00:00:22,46,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Jump Shot,29,10,285,26.0,60.5,MISS Ayton 29' 3PT Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:07:56,00:04:04,00:00:04,47,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:07:45,00:04:15,00:00:11,48,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,19,78,168,17.2,21.8,MISS DeRozan 19' Pullup Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,10,00:07:43,00:04:17,00:00:02,49,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:2)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,13,00:07:23,00:04:37,00:00:20,51,PHX,shot,,,,,,,,,,Isaiah Canaan,3,,,made,,Pullup Jump Shot,26,132,226,38.2,66.4,Canaan 26' 3PT Pullup Jump Shot (6 PTS)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,13,00:07:18,00:04:42,00:00:05,52,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Spurs Timeout: Regular (Reg.1 Short 0)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,13,00:07:09,00:04:51,00:00:09,53,PHX,foul,,,,,,,,Bryn Forbes,,Devin Booker,,,p.foul,,,p.foul,,,,,,Booker P.FOUL (P1.T2) (R.Mott)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,13,00:07:02,00:04:58,00:00:07,55,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Turnaround Hook Shot,6,-57,4,30.7,5.4,MISS DeRozan 6' Turnaround Hook Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,13,00:07:00,00:05:00,00:00:02,56,PHX,rebound,,,,,,,,,,Devin Booker,,,,,,rebound defensive,,,,,,Booker REBOUND (Off:0 Def:1)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,16,00:06:56,00:05:04,00:00:04,57,PHX,shot,Devin Booker,,,,,,,,,T.J. Warren,3,,,made,,Running Jump Shot,24,-209,126,4.1,76.4,Warren 24' 3PT Running Jump Shot (8 PTS) (Booker 2 AST)
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,16,00:06:43,00:05:17,00:00:13,59,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Pullup Jump Shot,16,3,163,24.7,21.3,MISS Forbes 16' Pullup Jump Shot
"=""0021800211""",2018-2019 Regular Season,2018-11-14,DeMar DeRozan,Dante Cunningham,LaMarcus Aldridge,Bryn Forbes,Derrick White,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,5,16,00:06:41,00:05:19,00:00:02,60,PHX,rebound,,,,,,,,,,Isaiah Canaan,,,,,,rebound defensive,,,,,,Canaan REBOUND (Off:0 Def:1)
