game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Hassan Whiteside,Myles Turner,,,,,,,Myles Turner,,Darren Collison,,,,jump ball,,,,,,Jump Ball Turner vs. Whiteside: Tip to Collison
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,2,00:11:44,00:00:16,00:00:16,7,IND,shot,Myles Turner,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,1,-5,7,24.5,88.3,Bogdanovic 1' Cutting Layup Shot (2 PTS) (Turner 1 AST)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,2,00:11:22,00:00:38,00:00:22,9,MIA,shot,Rodney McGruder,,,,,,,,,Hassan Whiteside,2,,,made,,Dunk,1,1,11,24.9,6.1,Whiteside 1' Dunk (2 PTS) (McGruder 1 AST)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,2,5,00:10:56,00:01:04,00:00:26,11,IND,shot,Darren Collison,,,,,,,,,Myles Turner,3,,,made,,Jump Shot,26,-204,159,4.6,73.1,Turner 26' 3PT Jump Shot (3 PTS) (Collison 1 AST)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,5,5,00:10:43,00:01:17,00:00:13,13,MIA,shot,Justise Winslow,,,,,,,,,Josh Richardson,3,,,made,,Jump Shot,27,-157,224,40.7,27.4,Richardson 27' 3PT Jump Shot (3 PTS) (Winslow 1 AST)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,5,7,00:10:29,00:01:31,00:00:14,15,IND,shot,Victor Oladipo,,,,,,,,,Myles Turner,2,,,made,,Jump Shot,20,35,195,28.5,69.5,Turner 20' Jump Shot (5 PTS) (Oladipo 1 AST)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,7,7,00:10:16,00:01:44,00:00:13,17,MIA,shot,,,,,,,,,,Hassan Whiteside,2,,,made,,Turnaround Hook Shot,4,-26,30,27.6,8.0,Whiteside 4' Turnaround Hook Shot (4 PTS)
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,7,7,00:10:03,00:01:57,00:00:13,18,IND,miss,,,,Hassan Whiteside,,,,,,Thaddeus Young,0,,,missed,,Turnaround Hook Shot,4,4,41,25.4,84.9,"Whiteside BLOCK (1 BLK), MISS Young 4' Turnaround Hook Shot"
"=""0021800217""",2018-2019 Regular Season,2018-11-16,Rodney McGruder,Justise Winslow,Hassan Whiteside,Josh Richardson,Goran Dragic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,7,7,00:10:00,00:02:00,00:00:03,20,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
