game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,4,UTA,jump ball,,Rudy Gobert,Joel Embiid,,,,,,,Joel Embiid,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Embiid vs. Gobert: Tip to Rubio
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:11:46,0:00:14,0:00:14,7,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,unknown,8,-9,75,25.9,12.5,MISS Ingles 8' Driving Floating Jump Shot
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:11:38,0:00:22,0:00:08,8,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,0:11:38,0:00:22,0:00:00,9,UTA,shot,,,,,,,,,,Rudy Gobert,2,,,made,,unknown,1,0,-6,25,4.4,Gobert 1' Tip Dunk Shot (2 PTS)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,0:11:25,0:00:35,0:00:13,10,PHI,shot,Ben Simmons,,,,,,,,,Jimmy Butler,2,,,made,,Driving Reverse Layup,1,-7,10,24.3,88,Butler 1' Driving Reverse Layup (2 PTS) (Simmons 1 AST)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,0:11:09,0:00:51,0:00:16,12,UTA,turnover,,,,,,,,,,Donovan Mitchell,,,bad pass ,,Joel Embiid,bad pass ,,,,,,"Mitchell Bad Pass Turnover (P1.T1), Embiid STEAL (1 STL)"
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,0:11:05,0:00:55,0:00:04,14,UTA,foul,,,,,,,,Ben Simmons,,Donovan Mitchell,,,s.foul,,,s.foul,,,,,,Mitchell S.FOUL (P1.T1) (T.Maddox)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,0:11:05,0:00:55,0:00:00,16,PHI,free throw,,,,,,,1,,2,Ben Simmons,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Simmons Free Throw 1 of 2
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,0:11:05,0:00:55,0:00:00,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ERS Rebound
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,3,0:11:05,0:00:55,0:00:00,18,PHI,free throw,,,,,,,2,,2,Ben Simmons,1,,,made,,Free Throw 2 of 2,,,,,,Simmons Free Throw 2 of 2 (1 PTS)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,3,0:10:55,0:01:05,0:00:10,19,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Pullup Jump Shot,20,7,203,24.3,25.3,MISS Mitchell 20' Pullup Jump Shot
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,3,0:10:52,0:01:08,0:00:03,20,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,5,0:10:43,0:01:17,0:00:09,21,PHI,shot,Joel Embiid,,,,,,,,,JJ Redick,2,,,made,,Driving Finger Roll Layup,4,-7,37,24.3,85.3,Redick 4' Driving Finger Roll Layup (2 PTS) (Embiid 1 AST)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,5,0:10:34,0:01:26,0:00:09,23,UTA,turnover,,,,,,,,,,Ricky Rubio,,,,,,unknown,,,,,,Rubio Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,8,0:10:25,0:01:35,0:00:09,24,PHI,shot,Ben Simmons,,,,,,,,,Jimmy Butler,3,,,made,,Jump Shot,25,221,116,47.1,77.4,Butler 25' 3PT Jump Shot (5 PTS) (Simmons 2 AST)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,8,0:10:13,0:01:47,0:00:12,26,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,26,188,184,6.2,23.4,MISS Ingles 26' 3PT Jump Shot
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,8,0:10:09,0:01:51,0:00:04,27,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:2)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,10,0:10:00,0:02:00,0:00:09,28,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,unknown,3,21,15,27.1,87.5,Embiid 3' Turnaround Fadeaway Bank Jump Shot (2 PTS)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,10,0:10:00,0:02:00,0:00:00,29,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Jazz Timeout: Regular (Reg.1 Short 0)
0021800218,2018-2019 Regular Season,11/16/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,10,0:09:40,0:02:20,0:00:20,30,PHI,foul,,,,,,,,Ricky Rubio,,JJ Redick,,,s.foul,,,s.foul,,,,,,Redick S.FOUL (P1.T1) (T.Maddox)
