game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Towns vs. Nurkic: Tip to Lillard
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:43,00:00:17,00:00:17,7,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Step Back Jump Shot,9,-89,31,33.9,8.1,MISS McCollum 9' Step Back Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:41,00:00:19,00:00:02,8,MIN,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:25,00:00:35,00:00:16,9,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Jump Shot,20,-2,197,24.8,69.3,MISS Gibson 20' Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:22,00:00:38,00:00:03,10,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:13,00:00:47,00:00:09,11,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Jump Shot,26,-8,257,25.8,30.7,MISS Aminu 26' 3PT Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:11:10,00:00:50,00:00:03,12,MIN,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:2)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,2,00:10:59,00:01:01,00:00:11,13,MIN,shot,Andrew Wiggins,,,,,,,,,Taj Gibson,2,,,made,,Layup,1,9,-5,25.9,89.5,Gibson 1' Layup (2 PTS) (Wiggins 1 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,2,2,00:10:41,00:01:19,00:00:18,15,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,unknown,0,3,1,24.7,5.1,Nurkic  Cutting Dunk Shot (2 PTS) (Lillard 1 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,2,5,00:10:23,00:01:37,00:00:18,18,MIN,shot,Andrew Wiggins,,,,,,,,,Robert Covington,3,,,made,,Jump Shot,25,95,235,34.5,65.5,Covington 25' 3PT Jump Shot (3 PTS) (Wiggins 2 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,2,5,00:10:06,00:01:54,00:00:17,20,MIN,foul,,,,,,,,Jake Layman,,Taj Gibson,,,s.foul,,,s.foul,,,,,,Gibson S.FOUL (P1.T1) (J.Williams)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,2,5,00:10:06,00:01:54,00:00:00,22,POR,free throw,,,,,,,1,,2,Jake Layman,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Layman Free Throw 1 of 2
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,2,5,00:10:06,00:01:54,00:00:00,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:10:06,00:01:54,00:00:00,24,POR,free throw,,,,,,,2,,2,Jake Layman,1,,,made,,Free Throw 2 of 2,,,,,,Layman Free Throw 2 of 2 (1 PTS)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:09:59,00:02:01,00:00:07,25,POR,foul,,,,,,,,Andrew Wiggins,,CJ McCollum,,,p.foul,,,p.foul,,,,,,McCollum P.FOUL (P1.T1) (E.Lewis)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:09:48,00:02:12,00:00:11,27,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Turnaround Jump Shot,10,30,91,28.0,79.9,MISS Wiggins 10' Turnaround Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:09:44,00:02:16,00:00:04,28,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:09:34,00:02:26,00:00:10,29,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,unknown,2,18,10,23.2,6.0,MISS Nurkic 2' Cutting Dunk Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,5,00:09:32,00:02:28,00:00:02,30,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound offensive,,,,,,Lillard REBOUND (Off:1 Def:0)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,5,00:09:29,00:02:31,00:00:03,31,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,Layup,1,9,10,24.1,6.0,Nurkic 1' Layup (4 PTS) (Lillard 2 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,5,00:09:05,00:02:55,00:00:24,33,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Layup,3,24,21,27.4,86.9,MISS Gibson 3' Layup
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,5,00:09:03,00:02:57,00:00:02,34,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound offensive,,,,,,Gibson REBOUND (Off:1 Def:0)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,7,00:08:57,00:03:03,00:00:06,35,MIN,shot,Andrew Wiggins,,,,,,,,,Karl-Anthony Towns,2,,,made,,Jump Shot,17,-169,38,8.1,85.2,Towns 17' Jump Shot (2 PTS) (Wiggins 3 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,7,00:08:45,00:03:15,00:00:12,37,POR,turnover,,,,,,,,,,Al-Farouq Aminu,,,traveling ,,,traveling ,,,,,,Aminu Traveling Turnover (P1.T1)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,7,00:08:22,00:03:38,00:00:23,38,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Turnaround Fadeaway ,13,-120,42,13.0,84.8,MISS Wiggins 13' Turnaround Fadeaway Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,7,00:08:20,00:03:40,00:00:02,39,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound offensive,,,,,,Gibson REBOUND (Off:2 Def:0)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,5,10,00:08:19,00:03:41,00:00:01,40,MIN,shot,Taj Gibson,,,,,,,,,Karl-Anthony Towns,3,,,made,,Jump Shot,25,-44,251,20.6,63.9,Towns 25' 3PT Jump Shot (5 PTS) (Gibson 1 AST)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:08:00,00:04:00,00:00:19,42,POR,shot,,,,,,,,,,Damian Lillard,2,,,made,,unknown,1,7,6,24.3,5.6,Lillard 1' Driving Layup (2 PTS)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:07:51,00:04:09,00:00:09,43,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,Pullup Jump Shot,25,48,242,29.8,64.8,MISS Teague 25' 3PT Pullup Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:07:48,00:04:12,00:00:03,44,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:2)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:07:41,00:04:19,00:00:07,45,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Pullup Jump Shot,25,5,247,24.5,29.7,MISS McCollum 25' 3PT Pullup Jump Shot
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:07:37,00:04:23,00:00:04,46,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:2)
"=""0021800221""",2018-2019 Regular Season,2018-11-16,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,7,10,00:07:35,00:04:25,00:00:02,47,POR,turnover,,,,,,,,,,CJ McCollum,,,bad pass ,,Andrew Wiggins,bad pass ,,,,,,"McCollum Bad Pass Turnover (P1.T2), Wiggins STEAL (1 STL)"
