game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,0:12:00,0:00:00,0:00:00,4,BKN,jump ball,,Marcin Gortat,Jarrett Allen,,,,,,,Jarrett Allen,,Joe Harris,,,,jump ball,,,,,,Jump Ball Allen vs. Gortat: Tip to Harris
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,3,0:11:44,0:00:16,0:00:16,7,BKN,shot,Joe Harris,,,,,,,,,Allen Crabbe,3,,,made,,Jump Shot,26,-134,225,11.6,66.5,Crabbe 26' 3PT Jump Shot (3 PTS) (Harris 1 AST)
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,3,0:11:25,0:00:35,0:00:19,9,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,-131,215,38.1,26.5,MISS Harris 25' 3PT Jump Shot
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,3,0:11:24,0:00:36,0:00:01,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Clippers Rebound
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,3,0:11:15,0:00:45,0:00:09,12,LAC,shot,Patrick Beverley,,,,,,,,,Marcin Gortat,2,,,made,,unknown,1,-10,8,26,5.8,Gortat 1' Cutting Layup Shot (2 PTS) (Beverley 1 AST)
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,6,0:11:06,0:00:54,0:00:09,14,BKN,shot,D'Angelo Russell,,,,,,,,,Allen Crabbe,3,,,made,,Jump Shot,25,-17,253,23.3,63.7,Crabbe 25' 3PT Jump Shot (6 PTS) (Russell 1 AST)
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,6,0:10:53,0:01:07,0:00:13,16,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Pullup Jump Shot,14,9,141,24.1,19.1,MISS Harris 14' Pullup Jump Shot
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,6,0:10:50,0:01:10,0:00:03,17,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,6,0:10:31,0:01:29,0:00:19,19,BKN,miss,,,,,,,,,,Allen Crabbe,0,,,missed,,unknown,4,37,7,28.7,88.3,MISS Crabbe 4' Driving Layup
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,6,0:10:29,0:01:31,0:00:02,20,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
0021800224,2018-2019 Regular Season,11/17/2018,Tobias Harris,Danilo Gallinari,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Joe Harris,Jared Dudley,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,2,8,0:10:29,0:01:31,0:00:00,21,BKN,shot,,,,,,,,,,Jarrett Allen,2,,,made,,Turnaround Hook Shot,1,-5,12,24.5,87.8,Allen 1' Turnaround Hook Shot (2 PTS)
