game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,4,TOR,jump ball,,Serge Ibaka,Wendell Carter Jr.,,,,,,,Wendell Carter Jr.,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Carter Jr. vs. Ibaka: Tip to Lowry
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:50,00:00:10,00:00:10,7,CHI,foul,,,,,,,,Kyle Lowry,,Ryan Arcidiacono,,,p.foul,,,p.foul,,,,,,Arcidiacono P.FOUL (P1.T1) (M.Ayotte)
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:39,00:00:21,00:00:11,9,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Jump Shot,14,128,55,12.2,10.5,MISS Lowry 14' Jump Shot
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:36,00:00:24,00:00:03,10,CHI,rebound,,,,,,,,,,Jabari Parker,,,,,,rebound defensive,,,,,,Parker REBOUND (Off:0 Def:1)
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:23,00:00:37,00:00:13,11,CHI,miss,,,,,,,,,,Jabari Parker,0,,,missed,,Jump Shot,18,175,34,42.5,85.6,MISS Parker 18' Jump Shot
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:20,00:00:40,00:00:03,12,TOR,rebound,,,,,,,,,,Kyle Lowry,,,,,,rebound defensive,,,,,,Lowry REBOUND (Off:0 Def:1)
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:11:03,00:00:57,00:00:17,14,TOR,turnover,,,,,,,,,,Serge Ibaka,,,lost ball ,,Jabari Parker,lost ball ,,,,,,"Ibaka Lost Ball Turnover (P1.T1), Parker STEAL (1 STL)"
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:10:59,00:01:01,00:00:04,16,CHI,miss,,,,Serge Ibaka,,,,,,Jabari Parker,0,,,missed,,Layup,1,5,6,25.5,88.4,"Ibaka BLOCK (1 BLK), MISS Parker 1' Layup"
"=""0021800230""",2018-2019 Regular Season,2018-11-17,Fred VanVleet,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Cameron Payne,Ryan Arcidiacono,1,0,0,00:10:52,00:01:08,00:00:07,18,TOR,rebound,,,,,,,,,,Pascal Siakam,,,,,,rebound defensive,,,,,,Siakam REBOUND (Off:0 Def:1)
