game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Kevon Looney,DeAndre Jordan,,,,,,,DeAndre Jordan,,Dennis Smith Jr.,,,,jump ball,,,,,,Jump Ball Jordan vs. Looney: Tip to Smith Jr.
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,0,2,00:11:38,00:00:22,00:00:22,7,DAL,shot,Luka Doncic,,,,,,,,,DeAndre Jordan,2,,,made,,Turnaround Bank Hook Shot,1,-5,10,24.5,88.0,Jordan 1' Turnaround Bank Hook Shot (2 PTS) (Doncic 1 AST)
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,2,2,00:11:23,00:00:37,00:00:15,9,GSW,shot,Andre Iguodala,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,19,-136,126,38.6,17.6,Thompson 19' Jump Shot (2 PTS) (Iguodala 1 AST)
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,2,5,00:11:02,00:00:58,00:00:21,11,DAL,shot,Dorian Finney-Smith,,,,,,,,,Luka Doncic,3,,,made,,Step Back Jump Shot,26,-182,191,6.8,69.9,Doncic 26' 3PT Step Back Jump Shot (3 PTS) (Finney-Smith 1 AST)
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,4,5,00:10:49,00:01:11,00:00:13,13,GSW,shot,Jonas Jerebko,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,22,163,143,8.7,19.3,Thompson 22' Jump Shot (4 PTS) (Jerebko 1 AST)
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,4,5,00:10:34,00:01:26,00:00:15,15,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,unknown,2,3,16,25.3,87.4,MISS Barnes 2' Driving Layup
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,4,5,00:10:32,00:01:28,00:00:02,16,GSW,rebound,,,,,,,,,,Jonas Jerebko,,,,,,rebound defensive,,,,,,Jerebko REBOUND (Off:0 Def:1)
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,4,5,00:10:21,00:01:39,00:00:11,17,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Fadeaway Jumper,9,-41,85,29.1,13.5,MISS Thompson 9' Fadeaway Jumper
"=""0021800232""",2018-2019 Regular Season,2018-11-17,Kevin Durant,Jonas Jerebko,Kevon Looney,Klay Thompson,Andre Iguodala,Harrison Barnes,Luka Doncic,DeAndre Jordan,Dorian Finney-Smith,Dennis Smith Jr.,1,4,5,00:10:17,00:01:43,00:00:04,18,DAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
