game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Deandre Ayton,,,,,,,Deandre Ayton,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Ayton vs. Adams: Tip to Schroder
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,0,00:11:35,00:00:25,00:00:25,7,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,Hook Shot,7,-24,70,27.4,12.0,Adams 7' Hook Shot (2 PTS)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,2,3,00:11:18,00:00:42,00:00:17,8,PHX,shot,Devin Booker,,,,,,,,,Mikal Bridges,3,,,made,,Jump Shot,26,-145,218,10.5,67.2,Bridges 26' 3PT Jump Shot (3 PTS) (Booker 1 AST)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,4,3,00:10:59,00:01:01,00:00:19,10,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,Driving Reverse Layup,1,1,5,24.9,5.5,Adams 1' Driving Reverse Layup (4 PTS)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,4,6,00:10:33,00:01:27,00:00:26,11,PHX,shot,T.J. Warren,,,,,,,,,Isaiah Canaan,3,,,made,,Jump Shot,26,190,183,44.0,70.7,Canaan 26' 3PT Jump Shot (3 PTS) (Warren 1 AST)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,6,00:10:13,00:01:47,00:00:20,13,OKC,shot,Hamidou Diallo,,,,,,,,,Jerami Grant,3,,,made,,Jump Shot,23,231,32,1.9,8.2,Grant  3PT Jump Shot (3 PTS) (Diallo 1 AST)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:50,00:02:10,00:00:23,15,PHX,shot,Mikal Bridges,,,,,,,,,Deandre Ayton,2,,,made,,Jump Shot,12,-119,26,13.1,86.4,Ayton 12' Jump Shot (2 PTS) (Bridges 1 AST)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:29,00:02:31,00:00:21,20,PHX,jump ball,,Paul George,Mikal Bridges,,,,,,,Mikal Bridges,,Deandre Ayton,,,,jump ball,,,,,,Jump Ball Bridges vs. George: Tip to Ayton
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:29,00:02:31,00:00:00,23,OKC,turnover,,,,,,,,,,Paul George,,,lost ball ,,Mikal Bridges,lost ball ,,,,,,"George Lost Ball Turnover (P1.T1), Bridges STEAL (1 STL)"
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:23,00:02:37,00:00:06,25,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Alley Oop Layup,0,-3,4,24.7,88.6,MISS Ayton 1' Alley Oop Layup
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:20,00:02:40,00:00:03,26,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:18,00:02:42,00:00:02,27,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Running Jump Shot,26,-80,250,33.0,30.0,MISS George 26' 3PT Running Jump Shot
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,7,8,00:09:14,00:02:46,00:00:04,28,OKC,rebound,,,,,,,,,,Hamidou Diallo,,,,,,rebound offensive,,,,,,Diallo REBOUND (Off:1 Def:0)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,9,8,00:09:07,00:02:53,00:00:07,29,OKC,shot,,,,,,,,,,Dennis Schroder,2,,,made,,Pullup Jump Shot,19,116,148,13.4,19.8,Schroder 19' Pullup Jump Shot (2 PTS)
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,9,8,00:08:49,00:03:11,00:00:18,30,PHX,miss,,,,,,,,,,Mikal Bridges,0,,,missed,,Jump Shot,27,-149,220,10.1,67.0,MISS Bridges 27' 3PT Jump Shot
"=""0021800233""",2018-2019 Regular Season,2018-11-17,Paul George,Jerami Grant,Steven Adams,Hamidou Diallo,Dennis Schroder,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,Isaiah Canaan,1,9,8,00:08:45,00:03:15,00:00:04,31,OKC,rebound,,,,,,,,,,Jerami Grant,,,,,,rebound defensive,,,,,,Grant REBOUND (Off:0 Def:1)
