game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,JaVale McGee,Hassan Whiteside,,,,,,,Hassan Whiteside,,Josh Richardson,,,,jump ball,,,,,,Jump Ball Whiteside vs. McGee: Tip to Richardson
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:39,00:00:21,00:00:21,7,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Step Back Jump Shot,16,6,157,25.6,73.3,MISS Richardson 16' Step Back Jump Shot
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:35,00:00:25,00:00:04,8,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,2,0,00:11:25,00:00:35,00:00:10,9,LAL,shot,LeBron James,,,,,,,,,Kyle Kuzma,2,,,made,,unknown,2,11,11,23.9,6.1,Kuzma 2' Cutting Layup Shot (2 PTS) (James 1 AST)
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,2,0,00:11:11,00:00:49,00:00:14,11,MIA,miss,,,,,,,,,,Rodney McGruder,0,,,missed,,unknown,2,19,4,26.9,88.6,MISS McGruder 2' Driving Layup
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,2,0,00:11:11,00:00:49,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HEAT Rebound
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,2,0,00:11:09,00:00:51,00:00:02,14,MIA,turnover,,,,,,,,,,Wayne Ellington,,,bad pass ,,LeBron James,bad pass ,,,,,,"James STEAL (1 STL), Ellington Bad Pass Turnover (P1.T1)"
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,4,0,00:11:03,00:00:57,00:00:06,16,LAL,shot,Lonzo Ball,,,,,,,,,LeBron James,2,,,made,,Running Dunk,1,5,7,24.5,5.7,James 1' Running Dunk (2 PTS) (Ball 1 AST)
"=""0021800235""",2018-2019 Regular Season,2018-11-18,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Rodney McGruder,Justise Winslow,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,4,2,00:10:47,00:01:13,00:00:16,18,MIA,shot,,,,,,,,,,Wayne Ellington,2,,,made,,Driving Finger Roll Layup,1,12,8,26.2,88.2,Ellington 1' Driving Finger Roll Layup (2 PTS)
